stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MU,1535.9113253816536,56.809896070077656,1,0.0008765620998096345,10,2,2,277412
US.INTC,1557.8742380617832,55.05009758218824,2,0.0004963382131050621,19,2,2,765365
US.AAPL,895.6074490227238,50.84297458511399,3,7.575289277858034e-05,60,2,2,307905
US.RKLB,751.9289356112836,50.343711188800896,4,0.0014095948394604663,7,1,2,88933
US.COP,297.8475078594748,38.63153992798136,5,0.000574268624128866,13,1,2,13863
US.TSLA,997.2751038529525,30.063890760336804,6,0.0001749560236386828,40,2,2,220806
US.WFC,237.62194116375838,29.42621954976921,7,0.0002978223336976859,30,2,2,17958
US.NVDA,1445.2365503765964,28.756351558309692,8,5.431732293084828e-05,68,2,2,1656646
US.IBM,182.14291280800956,26.0,9,7.956234590366442e-05,56,1,2,616
US.AMD,1059.6477406486817,24.97403637245029,10,0.0014259697694902203,6,2,2,341931
US.WMT,223.30582479050986,23.01113198019128,11,0.00010613509627600407,50,2,2,22324
US.PFE,159.1051085682627,22.0,12,0.00020129230734668177,35,1,2,11519
US.DINO,149.75095427306064,18.76530612244898,13,0.004961628315598963,2,1,2,10443
US.DDOG,498.6049396809642,18.417911988635684,14,0.0017463515467286053,4,2,2,79626
US.AEP,131.57816818725473,18.0,15,0.00033165634218094254,28,1,2,1624
US.QCOM,572.9393670648747,12.806522685324275,16,0.0005908659988243834,12,2,2,152315
US.GOOG,219.93168444492994,12.505491015412453,17,1.4378167815617637e-05,102,2,2,46260
US.FTNT,278.08686151657076,11.507929373306096,18,0.00041131040964651264,24,2,2,33379
US.SNDK,203.80704935593357,10.981000824972439,19,0.00045593287960224676,21,2,2,8648
US.TFC,70.93557868035685,8.911694510739856,20,0.0001482368693106143,42,1,2,2828
US.ORCL,338.0694723274456,8.285649670896536,21,6.623985896080812e-05,62,2,2,139062
US.HR,56.00608294577032,8.0,22,5.774751e-12,128,1,2,1271
US.DELL,142.10729073543462,7.579667978379515,23,0.00010749528326734566,49,2,2,10883
US.DASH,73.69538207027529,6.986910994764398,24,0.0002670566368413507,31,2,2,1656
US.AVGO,119.77949288538935,6.818697626719979,25,2.026898242442112e-05,96,2,2,36563
US.MCHP,129.41736394478502,6.009626034803062,26,0.01359107794363209,1,2,2,114236
US.AKAM,145.17203742063418,6.006066001449826,27,0.0015227660379987166,5,2,2,26745
US.GLW,128.88634715996045,5.527628466574127,28,0.00013177709992504884,43,2,2,23908
US.GOOGL,241.2534813023145,5.233285218459304,29,2.5158395324437924e-05,92,2,2,82597
US.SLV,65.9562469414994,5.090283029874626,30,2.91193e-12,130,1,2,30344
US.SMCI,175.23433955438122,5.0327844034068585,31,0.0005016122582562935,18,2,2,168455
US.AAON,71.04529367639998,4.744851790641189,32,0.0008924752054714272,9,1,2,3664
US.FLEX,73.31714543548082,4.625594314924252,33,0.00037589412537418265,26,2,2,2713
US.MRVL,109.90594077938401,4.3751867119278,34,6.226378344312674e-05,65,2,2,20142
US.PPG,26.01278693135807,4.0,35,3.9307968555589784e-05,74,1,2,141
US.GLD,27.464588401011028,4.0,35,1.844819e-12,131,1,2,20
US.NOW,26.8036963490093,4.0,35,1.3918373283939532e-05,105,1,2,12
US.NFLX,26.521977214427075,4.0,35,3.1105293376738254e-06,123,2,2,176
US.ETN,30.91588494706491,4.0,35,0.0002082848019592497,34,1,2,569
US.APP,56.048379468658,3.7500050306956774,40,3.4100297009993553e-05,78,1,2,2020
US.AMZN,378.5247507205692,3.3437792565305657,41,3.2020388177294055e-05,80,2,2,371572
US.ZS,42.70235165172524,3.3200105439000995,42,0.00019610002677395198,38,2,2,1316
US.UNH,69.99917481448495,3.2234431391848766,43,2.2899867796175924e-05,93,2,2,16747
US.ON,27.504196542431256,3.2081339712918657,44,4.704974142057857e-05,69,1,2,433
US.COIN,54.516816944103866,3.0949943455854725,45,7.862851930836155e-05,57,1,2,3519
US.USO,54.244272134318415,3.0857622061972005,46,3.222389e-12,129,1,2,12026
US.WYNN,33.876112821057305,3.0001382552191345,47,0.004386905739644173,3,1,2,14570
US.BIIB,28.64022243031053,3.0,48,0.00011604518729022641,48,1,2,570
US.QQQ,215.08664375431502,2.9896680192046063,49,1.12920391e-10,127,1,2,188719
US.LRCX,29.633687369451913,2.9411764705882355,50,1.5534026491432763e-05,101,1,2,650
