stock_owner,sum_log_turnover,sum_volume_open_interest,rank_by_volume,sum_turnover_mktval,rank_by_mktval,appear_days,total_trade_days,sum_open_interest
US.MU,1725.3168605171827,152.9952786746338,1,0.0004580458408151934,4,2,2,148132
US.QCOM,984.9003294864608,116.3544267984825,2,0.0008405109115710593,2,2,2,102030
US.INTC,1176.5697266226034,104.11399945147737,3,0.0002541846166788593,18,2,2,234707
US.AMD,827.6353612645976,64.20511124560045,4,0.00014032661533532184,31,2,2,117438
US.TSLA,1387.6093559100123,63.168601715187236,5,0.00012803886352983317,34,2,2,508667
US.SNDK,383.69737087097667,41.321495842523,6,0.0002536328203083157,19,2,2,20625
US.NVDA,1204.3988878107757,32.09413280454018,7,2.4268753511588613e-05,72,2,2,1329044
US.ARM,322.57692130004824,23.925334982597313,8,0.00017621230630891717,25,2,2,52573
US.DELL,219.17887219272916,23.848139768789302,9,0.00011780977116633627,36,2,2,8377
US.ORCL,627.9155698812133,23.552957216342087,10,0.00014328502925590363,30,2,2,428912
US.RKLB,220.73835919184265,22.155740494731265,11,0.0003199546957139413,14,1,2,31975
US.CRWV,353.6104144802666,20.286175161835594,12,0.0004689630663790403,3,1,2,190104
US.VST,191.62462792266967,19.226818543021473,13,0.0002927836702829891,16,2,2,31651
US.APP,232.0015493973808,18.94501030960955,14,0.0001206031243670362,35,2,2,11945
US.QQQ,233.37949354832529,17.72981535603614,15,1.9839056e-11,124,1,2,104136
US.GLW,227.66613280622084,16.151152480830515,16,7.721568556552048e-05,42,2,2,31912
US.AAPL,369.5421588788851,13.863739611352532,17,1.9115334856510483e-05,79,2,2,316612
US.COIN,228.7901122893344,12.916807489049212,18,0.00024725000375922976,20,2,2,62561
US.MSTR,187.64434696207894,12.717883122992578,19,0.00017135349085173102,26,2,2,71050
US.MRNA,148.74269213109793,11.692679111400594,20,0.0004280672629583389,5,2,2,39689
US.SMCI,134.88405383725444,11.52005079675444,21,0.0003838509009302546,7,2,2,96276
US.MXL,73.05523565534577,10.0,22,0.0023430294044366126,1,1,2,144
US.MSFT,397.8538711560694,9.67092608603665,23,2.5826070793694206e-05,67,2,2,349033
US.META,266.20964979312356,9.071621941359822,24,2.5041541191618544e-05,70,2,2,118400
US.CRCL,131.92670671471146,8.259206534357933,25,0.00021908218924426726,21,1,2,33752
US.SLV,164.78591336058696,7.782050548603499,26,1.8215819e-11,125,1,2,361833
US.COHR,97.03923086968268,7.716223236340049,27,0.0001394897461280315,33,2,2,4227
US.LITE,97.36607486991403,6.875722175580966,28,0.0001820531471437024,24,2,2,4223
US.AMAT,67.34023909272356,6.655110206122959,29,1.1051812198876806e-05,86,1,2,2626
US.GOOGL,138.3986735790757,6.446851899248852,30,1.2016389473749053e-05,85,2,2,61190
US.ALB,54.18610950555085,6.2683769116921555,31,0.0001398273016884378,32,2,2,3177
US.WDC,54.89736444050165,6.222710163111669,32,2.6068061802723233e-05,66,2,2,2113
US.PLTR,284.20381248545795,6.1610871157883516,33,5.799971695217212e-05,49,2,2,299877
US.GOOG,81.24267712706518,6.156539115698133,34,1.1567811376822285e-06,119,2,2,9142
US.DDOG,54.95602372956489,6.151515151515151,35,6.013699706599648e-05,47,2,2,3152
US.AKAM,38.878967805996986,6.0,36,6.0410671410010176e-05,46,1,2,81
US.AVGO,191.39419253506742,5.834491292401225,37,6.630340997835787e-06,95,2,2,57841
US.MRVL,176.30456254127142,4.903288597790272,38,8.641334424047198e-05,40,2,2,86838
US.CLX,54.10598544200134,4.196569992158056,39,0.00034398705326609214,10,2,2,16212
US.FSLR,40.6545067898365,4.1476946334089195,40,0.0001148699990872093,37,2,2,6758
US.BWXT,27.14008288750798,4.0,41,8.839586649359894e-05,39,1,2,132
US.EXPE,30.848812929704327,4.0,41,0.0003626156587149935,8,1,2,204
US.BSX,29.169548146214673,4.0,41,6.904501918052655e-05,43,1,2,3075
US.MCHP,27.207474330743366,4.0,41,3.629197466547262e-05,57,2,2,517
US.RTX,28.85560268583093,4.0,41,1.9477473176306046e-05,78,1,2,3121
US.INSM,26.664559646627108,4.0,41,5.533274406104786e-05,50,2,2,18
US.CRWD,67.96423746053632,3.9398959649760834,47,3.235417035698739e-05,62,1,2,4325
US.XYZ,26.854696048187733,3.8575697211155378,48,3.320273731140606e-05,60,1,2,3532
US.CELH,54.47621165960018,3.6363689502857026,49,0.00042057104942573153,6,2,2,40575
US.BABA,162.42788642450887,3.4047671410222717,50,3.3965101883820524e-05,59,2,2,163074
