stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.AAL,2026-05-09,673459.0,3502,1,7827,0.4474255781269963,0.4474255781269963,0.06445172740666731,50.92,0.732688594,982115.0,0.6857231586932284,False
US.AAPL,2026-05-09,250498077.0,35865,40,188400,9.95323443921701,345.0,158484.84073785756,24.884075000000003,0.46326457755000006,500579185.0,0.5004164865544699,True
US.ADI,2026-05-09,68524260.0,5922,2,3617,8.262718169077562,15.661375661375661,1.7338891261793572,21.2275,0.4024209345,68524260.0,1.0,True
US.AKAM,2026-05-09,28154334.0,12246,8,23886,0.5474952161293707,1.2679738562091503,0.07056922040232089,54.080124999999995,0.775598433625,33611675.0,0.8376355537175698,False
US.AMD,2026-05-09,939526598.0,103713,49,225223,1.0345641721037389,29.772226926333616,0.18445014574262883,75.54204081632653,0.8291643698163266,1326292081.0,0.7083858913578177,False
US.AMKR,2026-05-09,1083122.0,503,2,620,1.4395121469484495,2.4754098360655736,0.36264075563103093,81.53800000000001,0.7516059085,1508821.0,0.7178598389073323,False
US.AMZN,2026-05-09,25141976.0,7572,13,193899,0.04219442060149465,0.11162492885600456,0.0057750135694309345,50.722846153846156,0.9164108357692308,79236980.0,0.3173010379749455,False
US.ARM,2026-05-09,1350071.0,437,2,606,2.4334521687462867,4.444444444444445,0.29925633559717946,74.096,0.7597346684999999,19627896.0,0.06878327661813574,False
US.AVGO,2026-05-09,10186369.0,1487,4,10786,66.2729533135219,248.0,440940.7236469645,42.2605,0.6739999329999999,91916057.0,0.11082251929061752,True
US.BA,2026-05-09,2991640.0,1535,3,7947,2.5509003363703213,7.503597122302159,0.1908288384634633,41.556666666666665,0.8710549240000001,19432812.0,0.15394786920184275,False
US.BAC,2026-05-09,6244861.0,5679,3,18041,0.7831585053590798,1.6459016393442623,0.17176351315693825,11.248333333333333,0.29165244966666665,8072886.0,0.7735599140134024,False
US.BIIB,2026-05-09,3314297.0,1064,2,570,7.5,14.0,1.2406863792979477,19.51,0.46966509,3314297.0,1.0,True
US.C,2026-05-09,766310.0,258,1,219,1.178082191780822,1.178082191780822,0.2787042947105794,90.03,0.97123152,5518231.0,0.13886877878073609,False
US.CNC,2026-05-09,602739.0,905,1,3233,0.2799257655428395,0.2799257655428395,0.033315465268705255,42.3,0.814484278,602739.0,1.0,False
US.CNS,2026-05-09,358000.0,500,1,4,125.0,125.0,12.300714678394721,0.0,0.0,358000.0,1.0,False
US.COIN,2026-05-09,4167136.0,1446,4,3519,1.026526364174146,3.011111111111111,0.3182424785364881,61.94975,0.6611568245,48391465.0,0.08611303666875966,False
US.COP,2026-05-09,79666643.0,35728,20,13863,7.556429283692287,12.25,1.8169128109743784,26.833499999999997,0.34145692365,80495164.0,0.9897071953291504,True
US.CRCL,2026-05-09,1649885.0,773,2,4849,0.15890086713172435,0.179476861167002,0.029655871037087146,87.60849999999999,0.8489773005,18211768.0,0.09059444420772327,False
US.CRM,2026-05-09,561280.0,204,1,101,2.01980198019802,2.01980198019802,0.3056444683077922,46.407,0.703348226,4364148.0,0.12861158695809582,False
US.CRWV,2026-05-09,12014699.0,5932,5,69398,14.390473853502334,71.5,2.003802052503777,86.8038,0.7662299958000001,86790367.0,0.138433554498047,True
US.CSCO,2026-05-09,969312.0,520,1,17261,0.030125716934128962,0.030125716934128962,0.005815076137049731,35.962,0.85014037,16097102.0,0.06021655326530204,False
US.CVX,2026-05-09,1271980.0,401,1,2,200.5,200.5,35.017619204933375,0.0,0.0,1665498.0,0.7637235229342815,True
US.CYTK,2026-05-09,6164094.0,8203,1,19563,0.4193119664673107,0.4193119664673107,0.04096858711035316,49.53,0.921866687,6164094.0,1.0,False
US.DAL,2026-05-09,497240.0,650,1,5377,0.1208852519992561,0.1208852519992561,0.012610849312194632,42.691,0.751572342,856892.0,0.580283162872334,False
US.DASH,2026-05-09,15304658.0,4926,3,1599,14.728147286320644,42.19753086419753,3.191357028160411,33.498,0.564231016,15304658.0,1.0,True
US.DDOG,2026-05-09,18825715.0,4358,5,11686,200.21733444142737,1000.0,866000.0407443522,49.647000000000006,0.6887426082,30432547.0,0.6186046471890769,True
US.DELL,2026-05-09,13123863.0,5894,8,10243,0.7209136128555003,2.125140924464487,0.062050107088932355,67.1645,0.823912555875,51773351.0,0.253486837272712,False
US.DHI,2026-05-09,1066813.0,906,2,0,453.0,453.0,533406.5,0.0,0.0,1066813.0,1.0,True
US.DINO,2026-05-09,64785717.0,46624,10,10443,4.296316530088235,6.009615384615385,1.2664903482266934,19.0232,0.1980601185,65339057.0,0.9915312521268864,True
US.DIS,2026-05-09,3339597.0,1932,3,5138,1.3661139517757805,3.1746031746031744,0.23788808359104338,16.04733333333333,0.5935558586666666,3800240.0,0.8787858135275667,False
US.DOCN,2026-05-09,2385940.0,974,1,688,1.4156976744186047,1.4156976744186047,0.2115240040568239,96.261,0.895662622,5074160.0,0.4702137890803601,False
US.DOCS,2026-05-09,433016.0,1008,1,2474,0.4074373484236055,0.4074373484236055,0.06736977576806485,180.869,0.758801825,433016.0,1.0,False
US.DVN,2026-05-09,1962303.0,25061,1,0,25061.0,25061.0,1962303.0,0.0,0.0,3199427.0,0.6133295118157095,True
US.EL,2026-05-09,822073.0,1508,1,5089,0.296325407742189,0.296325407742189,0.018740046659028457,0.0,0.0,822073.0,1.0,False
US.FLEX,2026-05-09,1516325.0,602,2,675,0.935479375696767,1.0483091787439613,0.1977709984019791,31.293,0.4689458395,1831595.0,0.8278713361851283,False
US.FTNT,2026-05-09,1527001.0,653,3,6149,0.12344642857971487,0.18772893772893773,0.02841017477883324,28.300666666666668,0.5993703393333334,2450969.0,0.623019303793724,False
US.GLD,2026-05-09,1844819.0,524,2,20,137.89473684210526,262.0,11.896519863182405,31.838,0.9740610304999999,75326613.0,0.024490932573856733,True
US.GLW,2026-05-09,18246297.0,6297,7,17411,0.5850167404230115,1.8911290322580645,0.0913984622704919,58.611714285714285,0.6525531424285714,57044941.0,0.3198582850668563,False
US.GME,2026-05-09,385561.0,240,1,9,26.666666666666668,26.666666666666668,17.644197327475744,0.0,0.0,1715816.0,0.22470999221361732,False
US.GOOG,2026-05-09,11097239.0,1901,7,32174,2.4315869660270666,12.6875,0.43771232320756237,36.444714285714284,0.8054365772857143,46628814.0,0.23799101988740268,False
US.GOOGL,2026-05-09,23165321.0,4567,6,50325,0.1876220794358583,0.6102941176470589,0.02326338838650564,23.386,0.4711389948333333,84429677.0,0.27437415163864715,False
US.GWW,2026-05-09,1892000.0,215,1,34,6.323529411764706,6.323529411764706,0.45105461432208066,22.281,0.995536674,1892000.0,1.0,False
US.HAL,2026-05-09,1004056.0,1137,2,31065,0.08916494779319414,0.15751324226373015,0.02326085030640358,38.1995,0.8438300894999999,1004056.0,1.0,False
