stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.ABT,2026-05-09,44268557.0,16602,12,11487,1.4569579860293775,2.3189189189189188,0.44097658256469,31.585916666666666,-0.46919786816666664,44268557.0,1.0,False
US.AKAM,2026-05-09,744085.0,378,1,0,378.0,378.0,744085.0,51.021,-0.624294453,3547687.0,0.20973806313803894,True
US.ANET,2026-05-09,748596.0,251,1,288,0.8715277777777778,0.8715277777777778,0.18334567727069664,55.117,-0.635999876,1840190.0,0.4068036452757596,False
US.APH,2026-05-09,389425.0,224,1,260,0.8615384615384616,0.8615384615384616,0.11698730465816305,51.601,-0.563603566,3288518.0,0.11841960421077215,False
US.BABA,2026-05-09,355103.0,230,1,1570,0.1464968152866242,0.1464968152866242,0.016148811564834362,48.856,-0.575695265,3348117.0,0.10606051102754174,False
US.BSX,2026-05-09,8760454.0,2823,3,7905,0.9305069645153047,1.4335664335664335,0.7249619546244931,81.26466666666666,-0.8975089063333334,8760454.0,1.0,False
US.CAR,2026-05-09,2151480.0,1006,3,3547,0.606635897830134,1.3658536585365855,0.12410192199610802,23.724,-0.271466077,4560918.0,0.471720824623464,False
US.CME,2026-05-09,602400.0,200,1,387,0.5167958656330749,0.5167958656330749,0.05534539190353144,23.252,-0.732370686,956450.0,0.6298290553609702,False
US.COF,2026-05-09,1555398.0,859,2,351,211.62428571428572,422.0,17.95087977622968,16.99,-0.411145703,1555398.0,1.0,True
US.CRM,2026-05-09,3227383.0,702,2,357,1.9392012494422133,2.0080321285140563,0.46936948468534057,95.5415,-0.941804412,18081828.0,0.17848765069549383,False
US.CRWV,2026-05-09,2204969.0,1100,3,3638,0.650158376436276,1.5296442687747036,0.1402547045840636,104.84333333333332,-0.826742719,34436874.0,0.06402930184661941,False
US.DHR,2026-05-09,14417190.0,3621,3,1293,3.20220581863356,4.675324675324675,0.8663982377607636,0.0,0.0,14417190.0,1.0,False
US.FCX,2026-05-09,313280.0,315,1,1298,0.24268104776579352,0.24268104776579352,0.03914938073047686,51.463,-0.739133757,1000974.0,0.312975162192025,False
