stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover,active_days,persistence_ratio,dominant_bucket,stop_status,stop_date,peak_date
US.JNJ,65.12,64.095,2,4125971.0,2927358.0,2,1.0,ATM,ONGOING,,2026-05-09
US.GE,64.59,63.495000000000005,2,3486893.0,2090995.0,2,1.0,ATM,ONGOING,,2026-05-09
US.WBD,64.16,62.715,2,2579958.0,1909610.0,2,1.0,ATM,ONGOING,,2026-05-09
US.QCOM,63.59,63.335,2,619751243.0,313830917.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.TSLA,63.58,63.474999999999994,2,3554204082.0,1913159109.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.DDOG,63.5,63.2,2,149698855.0,117183701.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.HOOD,63.47,61.644999999999996,2,54425868.0,33411234.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FTNT,63.4,61.455,2,37941505.0,35140129.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.ZTS,63.3,58.78,2,12925073.0,12597381.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.V,63.02,62.96,2,2305136.0,1548705.0,2,1.0,ATM,ONGOING,,2026-05-09
US.NVDA,62.97,62.575,2,2201141582.0,1309675221.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.NOW,62.87,61.379999999999995,2,101831455.0,90856144.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.LITE,62.62,60.69,2,76013023.0,57959622.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.NFLX,62.51,61.105000000000004,2,103482528.0,79073837.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.META,62.5,62.114999999999995,2,418254301.0,291630106.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.ORCL,62.46,62.2,2,299586768.0,204796680.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.MSFT,62.42,61.705,2,588585481.0,459336414.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.GOOG,62.36,61.485,2,159123504.0,104518914.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.INTU,62.16,60.685,2,33330332.0,27889240.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.COHR,61.91,60.72,2,37626794.0,28021524.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.APP,61.9,61.125,2,101805912.0,68944011.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.WFC,61.63,60.88,2,81206613.0,63131885.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.GOOGL,61.29,60.955,2,434131191.0,341552168.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.SHOP,61.22,61.06,2,22701520.0,15497711.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.COIN,61.2,60.46,2,137018291.0,74234831.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.JBL,61.13,59.56,2,15868797.0,13522317.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.ARM,61.1,60.480000000000004,2,96844168.0,73392237.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.CVNA,61.07,60.91,2,41283299.0,33058182.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.STX,61.03,59.504999999999995,2,12186628.0,9446411.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.BSX,60.96,60.25,2,44350737.0,30055694.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.MCD,60.84,60.295,2,27100648.0,17022452.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.ABNB,60.8,56.394999999999996,2,7503097.0,6997804.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.MTSI,60.79,58.875,2,16596595.0,9089962.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.PLTR,60.76,60.65,2,191207164.0,113971096.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.DAL,60.51,57.815,2,3205767.0,1946546.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.AMZN,60.45,60.44,2,283610150.0,187505511.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.PANW,60.42,60.005,2,55261435.0,31103292.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.PWR,60.32,56.59,2,6457391.0,5939316.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.CRWD,60.23,59.37,2,37889971.0,26138308.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.WMT,60.18,58.185,2,118793430.0,115980912.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.ZS,60.17,58.915,2,12797735.0,8042550.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FLEX,60.13,59.41,2,21352972.0,18096981.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.DOCN,60.01,58.480000000000004,2,12406903.0,7332743.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.DHR,59.87,58.685,2,37496189.0,22775316.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.SCHW,59.83,57.995,2,11244285.0,9385537.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FSLR,59.61,56.725,2,5492968.0,4713929.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.TTD,59.54,58.94,2,15192243.0,10678091.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.IBM,59.47,55.95,2,26197289.0,25340646.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.CAR,59.4,58.379999999999995,2,133279670.0,128718752.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.INSM,59.37,57.81,2,5160755.0,4506247.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.DVN,59.21,57.97,2,11608824.0,8409397.0,2,1.0,DEEP_OTM,ACTIVE,,2026-05-08
US.WDAY,59.1,56.260000000000005,2,3415674.0,2926747.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.PFE,58.99,55.865,2,37010395.0,36192769.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.OKTA,58.61,57.94,2,5883732.0,4793657.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.TMO,58.55,57.605,2,11963890.0,11317470.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.UAL,58.5,56.625,2,11094298.0,10302797.0,2,1.0,ATM,ACTIVE,,2026-05-08
US.NKE,58.46,57.86,2,4693658.0,3361108.0,2,1.0,DEEP_ITM,ACTIVE,,2026-05-08
