stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.TSLA,90.4,88.875,2,845615476.0,482657832.0
US.QCOM,89.33,87.00999999999999,2,62212374.0,35984174.0
US.SNDK,89.24,81.32499999999999,2,186837661.0,93541664.0
US.MU,88.92,86.58500000000001,2,544984575.0,332021750.0
US.INTC,88.9,83.75,2,275614036.0,180979132.0
US.QQQ,88.32,88.32,1,585680569.0,585680569.0
US.HOOD,87.79,76.61000000000001,2,32126308.0,25169966.0
US.AMD,84.05,79.81,2,285804937.0,188672799.0
US.META,83.8,79.84,2,187958073.0,141811306.0
US.NFLX,81.69,68.99,2,80589899.0,64843028.0
US.ORCL,81.61,73.95,2,52694161.0,35940421.0
US.NVDA,81.53,80.025,2,326240243.0,198187335.0
US.USO,80.6,80.6,1,9685203.0,9685203.0
US.ZTS,80.2,80.2,1,11375250.0,11375250.0
US.INTU,79.83,70.735,2,29429640.0,25927578.0
US.AVGO,79.65,69.915,2,60547067.0,38440624.0
US.CRWV,78.96,78.96,1,34436874.0,34436874.0
US.GLD,78.95,78.95,1,13908325.0,13908325.0
US.AVAV,78.85,78.85,1,3624485.0,3624485.0
US.MSFT,78.59,76.96000000000001,2,138775990.0,99380111.0
US.RKLB,78.49,78.49,1,27118947.0,27118947.0
US.AKAM,77.76,62.94500000000001,2,5039677.0,3547687.0
US.NOW,76.56,65.605,2,70754589.0,66737118.0
US.LITE,75.98,67.08500000000001,2,18858425.0,12466008.0
US.ARM,75.76,61.1,2,24593356.0,20769321.0
US.AAPL,75.74,73.375,2,81208476.0,42468034.0
US.SHOP,75.71,74.18,2,18064351.0,11807888.0
US.COHR,75.36,70.53,2,17035529.0,8745287.0
US.MXL,74.19,74.19,1,2007857.0,2007857.0
US.STX,74.13,61.81999999999999,2,8158308.0,7014428.0
US.PLTR,73.17,69.795,2,62265149.0,36130827.0
US.JBL,72.7,66.99000000000001,2,10498089.0,8151609.0
US.DHR,72.24,60.76,2,37192506.0,22775316.0
US.SLV,71.86,71.86,1,8753561.0,8753561.0
US.GEV,71.4,71.4,1,5743909.0,5743909.0
US.ZS,69.25,69.25,1,7096950.0,7096950.0
US.CAR,69.21,62.91,2,133279670.0,128718752.0
US.BSX,69.01,66.56,2,38816148.0,30055694.0
US.DELL,68.96,61.47,2,5751187.0,3129525.0
US.SCHW,68.26,58.875,2,8537420.0,6678672.0
US.MRVL,67.92,67.63,2,14234636.0,9966939.0
US.C,67.78,49.115,2,5290044.0,4478044.0
US.DDOG,67.77,61.81999999999999,2,4977811.0,2895204.0
US.GOOG,66.35,59.565,2,17075664.0,9099888.0
US.CRM,65.93,62.565000000000005,2,34212554.0,18081828.0
US.ASML,65.91,50.114999999999995,2,3952461.0,2873519.0
US.ABT,65.77,61.41,2,69160142.0,44268557.0
US.BKNG,65.4,65.4,1,2890996.0,2890996.0
US.CRCL,65.23,65.23,1,7546526.0,7546526.0
US.COF,64.85,64.85,1,1555398.0,1555398.0
US.LULU,64.48,64.48,1,9082220.0,9082220.0
US.GOOGL,64.32,63.705,2,24874577.0,16725231.0
US.TMO,64.11,57.254999999999995,2,11963890.0,11317470.0
US.DASH,63.73,63.73,1,2960923.0,2960923.0
US.UNH,63.62,63.62,1,2297781.0,2297781.0
US.FTNT,62.49,45.745000000000005,2,2705886.0,2355479.0
US.BAC,62.44,42.275,2,7119008.0,5989114.0
US.CVNA,62.43,59.795,2,5948968.0,4577948.0
US.CIEN,62.38,62.38,1,2765360.0,2765360.0
US.MRK,62.07,62.07,1,717878.0,717878.0
US.AMZN,62.0,61.68,2,45826083.0,28958424.0
US.TER,61.89,51.53,2,2353193.0,1740977.0
US.AMAT,61.77,61.77,1,3248167.0,3248167.0
US.MNST,61.52,61.52,1,546320.0,546320.0
US.COIN,60.76,57.135,2,25453539.0,14391995.0
US.ACN,60.02,60.02,1,13105870.0,13105870.0
US.WDC,59.38,56.34,2,5854731.0,4100693.0
US.RCL,58.72,54.230000000000004,2,55107270.0,37564528.0
