stock_owner,trade_date,moneyness_bucket,bucket_turnover,bucket_volume,bucket_contracts,bucket_oi_sum,bucket_avg_iv,bucket_avg_delta,bucket_avg_churn,bucket_max_churn,bucket_avg_notional_churn,bucket_max_notional_churn,bucket_delta_flow,bucket_vega_flow,day_total_turnover,bucket_turnover_share
US.AAON,2026-05-08,DEEP_ITM,9448714.0,2461,5,3664,56.855399999999996,0.7164065918,18.415637024794904,89.33333333333333,4.99152002293433,24.17044487427466,5426956.680402033,325405.357977477,10137883.0,0.9320204228042482
US.AAON,2026-05-08,DEEP_OTM,689169.0,938,1,0,56.836,0.242645642,938.0,938.0,689169.0,689169.0,167223.854451498,122842.481102757,10137883.0,0.06797957719575182
US.AAPL,2026-05-08,ATM,278612221.0,828692,75,1033992,25.452933333333334,0.5012099677466667,1.4524622784555987,19.091525423728815,0.016218966104212074,0.17521756895597743,121367204.58308738,84804431.35371035,417891430.0,0.6667095829172663
US.AAPL,2026-05-08,DEEP_ITM,74274904.0,16485,20,119505,28.03435,0.5798068438499999,0.5907410923234581,4.26369168356998,0.11281844587970824,0.6678107117906714,46583504.52700799,15476508.968359448,417891430.0,0.17773732282569182
US.AAPL,2026-05-08,DEEP_OTM,65004305.0,119927,11,151475,23.517454545454545,0.22055394554545457,2.146827983387444,15.763921855030127,0.03872275170468593,0.35774278239015306,16027333.570379863,31220820.626023587,417891430.0,0.15555309425704184
US.ABBV,2026-05-08,ATM,555447.0,319,1,77,26.486,0.661759216,4.142857142857143,4.142857142857143,0.35585799430701015,0.35585799430701015,367572.171249552,221812.58046217202,555447.0,1.0
US.ABNB,2026-05-08,ATM,3276011.0,9564,4,9073,129.70325,0.42120604925,1.326136022553691,2.5405405405405403,0.042922223981638905,0.09664044157850224,1319735.801444025,200415.252785292,4920401.0,0.6658016287696876
US.ABNB,2026-05-08,DEEP_ITM,1644390.0,1202,2,781,110.489,0.826370171,50.47107526881721,100.16666666666667,5.149608666761592,10.22733637097157,1356869.4529195381,81335.644422184,4920401.0,0.3341983712303123
US.ADBE,2026-05-08,ATM,5320463.0,7199,4,5260,47.2555,0.44316703125,344.8490260098631,1377.0,544388.5170386739,2177554.0,2229012.582245753,1504812.058634938,5320463.0,1.0
US.ADI,2026-05-08,ATM,750416.0,652,1,740,73.91,0.660986018,0.8810810810810811,0.8810810810810811,0.02482315861342592,0.02482315861342592,496014.483683488,57230.381687584,750416.0,1.0
US.AEP,2026-05-08,ATM,3654444.0,5164,1,723,0.0,0.0,7.142461964038728,7.142461964038728,0.38361839834528766,0.38361839834528766,0.0,0.0,27431308.0,0.13322164586537397
US.AEP,2026-05-08,DEEP_ITM,23776864.0,10813,9,1624,16.484555555555556,0.3232871626666667,7.783836861399203,9.038461538461538,1.698380662259399,3.1221101303068517,6414018.86098376,81817.0289036,27431308.0,0.866778354134626
US.AKAM,2026-05-08,ATM,3609761.0,5105,4,15747,174.65925,0.54323137075,0.3836678724692909,0.5378113879003559,0.021993611083043832,0.0260558971073096,2015067.11117586,202571.886335141,7341983.0,0.491660223130454
US.AKAM,2026-05-08,DEEP_ITM,3732222.0,2271,2,2859,242.243,0.821506878,0.8130521362074301,0.90150842945874,0.11527450446568768,0.1313555516808921,3064103.54655184,118485.552386654,7341983.0,0.508339776869546
US.ALB,2026-05-08,ATM,1527544.0,616,1,4765,62.814,0.534766774,0.1292759706190976,0.1292759706190976,0.016162130863993106,0.016162130863993106,816879.7770230559,408226.331750152,2352876.0,0.6492241835098832
US.ALB,2026-05-08,DEEP_OTM,825332.0,544,1,2027,60.371,0.28897616,0.2683769116921559,0.2683769116921559,0.02052781525533356,0.02052781525533356,238501.27208512,246635.873854244,2352876.0,0.3507758164901168
US.AMAT,2026-05-08,ATM,4500522.0,2938,4,3798,75.80725,0.63879623775,0.8069879042858745,0.9421052631578948,0.03241708314586154,0.053072824277721385,2812699.914484832,663015.08025583,9101465.0,0.4944832507733645
US.AMAT,2026-05-08,DEEP_ITM,4600943.0,703,2,435,81.0305,0.944752228,12.575100255195041,24.23076923076923,2.0630920575044325,3.983389905438415,4365856.564786388,333251.802603863,9101465.0,0.5055167492266355
