stock_owner,trade_date,turnover_sum,turnover_max,volume_sum,volume_max,option_open_interest_sum,option_open_interest_mean,option_implied_volatility_mean,option_delta_mean,market_val_last,cf_log_turnover_sum,cf_log_turnover_mean,cf_churn_mean,cf_churn_max,cf_notional_churn_mean,cf_notional_churn_max,cf_delta_flow_sum,cf_vega_flow_sum,cf_gamma_flow_sum,cf_iv_level_mean,cf_volume_oi_ratio_mean,cf_volume_oi_ratio_max,cf_turnover_per_contract_mean,cf_turnover_per_contract_max,cf_intraday_range_mean,cf_intraday_range_max,cf_theta_vega_ratio_mean,cf_dte_weight_mean,cf_market_val_log_last,contracts
US.AAON,2026-05-08,10137883.0,3635488.0,3399,944,3664,610.6666666666666,56.85216666666667,0.6374464335,10587088517.5,84.48853693035953,14.081422821726589,171.67969752066242,938.0,114865.65960001912,689169.0,5594180.534853531,448247.839080234,24619.483591538003,56.85216666666667,171.67969752066242,938.0,3150.9773430776804,4322.730666666666,2.244135731870711,3.9695857367593073,3.0941003693501217,0.07741138377641445,23.082901031328714,6
US.AAPL,2026-05-08,417891430.0,71673447.0,965104,134992,1304972,12311.056603773584,25.739141509433964,0.48691488546226414,4221483923588.0,1528.7609390820962,14.422273010208455,1.361930193848122,19.091525423728815,0.036780581548694485,0.6678107117906714,183978042.68047523,131501760.9480934,8878968.603489425,25.739141509433964,1.361930193848122,19.091525423728815,1719.4606654388413,7625.032520325203,0.6800342065634778,3.6774193548387095,3.460270004084415,0.10371404980099423,29.07120782282628,106
US.ABBV,2026-05-08,555447.0,555447.0,319,319,77,77.0,26.486,0.661759216,358545821441.67,13.227530274319255,13.227530274319255,4.142857142857143,4.142857142857143,0.35585799430701015,0.35585799430701015,367572.171249552,221812.58046217202,7021.572716547001,26.486,4.142857142857143,4.142857142857143,1741.2131661442006,1741.2131661442006,0.10302787476389448,0.10302787476389448,0.1546646903557603,0.009345794392523364,26.605322303163494,1
US.ABNB,2026-05-08,4920401.0,987895.0,10766,4802,9854,1642.3333333333333,123.29849999999999,0.5562607565000001,83507016895.92,81.64207030399663,13.607011717332773,17.707782437974863,100.16666666666667,1.7451510382416233,10.22733637097157,2676605.254363563,281750.89720747597,125150.935993914,123.29849999999999,17.707782437974863,100.16666666666667,789.619536111299,1434.1414309484194,0.2891338279138232,0.5831783218541049,57.700303639917024,0.34762596899224807,25.148196499966158,6
US.ADBE,2026-05-08,5320463.0,2177554.0,7199,4948,5260,1315.0,47.2555,0.44316703125,103681342000.0,55.69198519523833,13.922996298809583,344.8490260098631,1377.0,544388.5170386739,2177554.0,2229012.582245753,1504812.058634938,72257.18572363499,47.2555,344.8490260098631,1377.0,1275.290572216456,1931.4884615384615,0.3372600463953941,0.8757637474541753,1.1638666824650734,0.04430764553883569,25.364588013149092,4
US.ADI,2026-05-08,750416.0,750416.0,652,652,740,740.0,73.91,0.660986018,199441162217.64,13.528384331001762,13.528384331001762,0.8810810810810811,0.8810810810810811,0.02482315861342592,0.02482315861342592,496014.483683488,57230.381687584,17833.350331504,73.91,0.8810810810810811,0.8810810810810811,1150.9447852760736,1150.9447852760736,0.007797017640752362,0.007797017640752362,40.11704687271889,0.5,26.01878510355468,1
US.AEP,2026-05-08,27431308.0,6686400.0,15977,5164,2347,234.7,14.836099999999998,0.2909584464,71691268870.8,146.68962298010564,14.668962298010564,7.719699371663154,9.038461538461538,1.566904435867988,3.1221101303068517,6414018.86098376,81817.0289036,48067.75160712,14.836099999999998,7.719699371663154,9.038461538461538,2571.152994113366,4551.31914893617,0.043428235987543765,0.0715012075759502,1.1914332722269614,0.05839793281653747,24.995634804079863,10
US.AKAM,2026-05-08,7341983.0,2004770.0,7376,1423,18606,3101.0,197.18716666666668,0.6359898731666667,17179457471.12,83.64279850472526,13.94046641745421,0.5267959603820039,0.90150842945874,0.05308724221059178,0.1313555516808921,5079170.6577277,321057.438721795,111010.708041759,197.18716666666668,0.5267959603820039,0.90150842945874,1022.8339185477954,1700.248031496063,0.24379417340008344,0.3627788862688191,65.88258016632072,0.24074074074074073,23.566980173965476,6
US.ALB,2026-05-08,2352876.0,1527544.0,1160,616,6792,3396.0,61.5925,0.411871467,23392338025.85,27.862714649736965,13.931357324868483,0.19882644115562675,0.2683769116921559,0.018344973059663334,0.02052781525533356,1055381.049108176,654862.2056043961,19714.921845916,61.5925,0.19882644115562675,0.2683769116921559,1998.4668162719634,2479.779220779221,0.9626055880441846,0.968421052631579,0.6146776103105166,0.01857235142118863,23.875674370941603,2
US.AMAT,2026-05-08,9101465.0,2474482.0,3641,1002,4233,705.5,77.54833333333333,0.7407815678333334,325887955784.88,84.89172595091362,14.148620991818937,4.729692021255596,24.23076923076923,0.7093087412653851,3.983389905438415,7178556.47927122,996266.882859693,52206.745911226,77.54833333333333,4.729692021255596,24.23076923076923,3252.0353298758782,6750.6698412698415,0.1878983712050405,0.5536321702179201,43.466417537560424,0.2974537037037037,26.509819465328487,6
