stock_owner,trade_date,turnover_sum,turnover_max,volume_sum,volume_max,option_open_interest_sum,option_open_interest_mean,option_implied_volatility_mean,option_delta_mean,market_val_last,cf_log_turnover_sum,cf_log_turnover_mean,cf_churn_mean,cf_churn_max,cf_notional_churn_mean,cf_notional_churn_max,cf_delta_flow_sum,cf_vega_flow_sum,cf_gamma_flow_sum,cf_iv_level_mean,cf_volume_oi_ratio_mean,cf_volume_oi_ratio_max,cf_turnover_per_contract_mean,cf_turnover_per_contract_max,cf_intraday_range_mean,cf_intraday_range_max,cf_theta_vega_ratio_mean,cf_dte_weight_mean,cf_market_val_log_last,contracts
US.AA,2026-05-08,1272902.0,1272902.0,1946,1946,378,378.0,51.676,-0.509783351,16530061770.0,14.05681067667875,14.05681067667875,5.148148148148148,5.148148148148148,0.537590295093488,0.537590295093488,648904.247054602,140007.743515568,35973.82074103,51.676,5.148148148148148,5.148148148148148,654.1120246659815,654.1120246659815,0.07413887694429204,0.07413887694429204,0.33585486424960065,0.013888888888888888,23.528446485674962,1
US.AAL,2026-05-08,2113604.0,1569176.0,84315,69869,30311,15155.5,55.329499999999996,-0.2786259315,8717056105.66,27.473554654055313,13.736777327027657,2.448052709174364,3.500626283881958,0.04977676306805123,0.05965096429471008,451636.273923556,20092.296934332,342355.385662528,55.329499999999996,2.448052709174364,3.500626283881958,30.072970357589774,37.68711061885643,0.4484478935698447,0.4878048780487804,2.04102497490763,0.06718346253229973,22.888547415419517,2
US.AAPL,2026-05-08,42468034.0,6294433.0,133354,32463,98607,2900.205882352941,25.767235294117647,-0.41695301491176473,4221483923588.0,467.06774301333706,13.737286559215796,5.224994725124341,77.28846153846153,0.12206274011192052,1.9871288604653714,23239885.170065302,10980547.231795497,1502944.622014284,25.767235294117647,5.224994725124341,77.28846153846153,715.9058589930078,2301.4978902953585,0.2920184528138236,0.9811215474751233,2.108841168141993,0.09405173978845054,29.07120782282628,34
US.ABBV,2026-05-08,3496300.0,1779866.0,4827,3858,2394,798.0,9.424333333333333,-0.049559465999999996,358545821441.67,41.63789966775072,13.879299889250241,3.437612122450067,6.818181818181818,0.4467321181984874,1.22800821594665,92350.694847312,98821.07735803201,7421.286270023999,9.424333333333333,3.437612122450067,6.818181818181818,2157.485172115326,3650.9666666666667,0.09558016583897266,0.14234875444839853,0.10661313698239783,0.0818260120585702,26.605322303163494,3
US.ABNB,2026-05-08,2077403.0,1448282.0,3332,2540,1577,788.5,45.962999999999994,-0.40434417050000004,83507016895.92,27.537969750360027,13.768984875180013,1.957088498310613,2.463627546071775,0.0910213396081328,0.10000962612383615,801772.234859201,375731.89680059196,36828.988483778,45.962999999999994,1.957088498310613,2.463627546071775,682.2672303746123,794.344696969697,0.15194274028629848,0.17055214723926365,0.5205392434471707,0.023255813953488372,25.148196499966158,2
US.ABT,2026-05-08,24891585.0,3145000.0,9940,1200,12453,1037.75,7.47075,-0.16428729108333331,151555162529.54,173.9748994441732,14.497908287014432,0.9430477584547313,1.6523887973640856,0.281436843497319,0.6319103261983391,4172140.651500378,38053.506133324,43317.48168935,7.47075,0.9430477584547313,1.6523887973640856,2591.5116330698056,3705.6134969325153,0.05720221112941117,0.13368983957219252,0.05704410638220516,0.06602429423555266,25.744215504736673,12
US.ACN,2026-05-08,13105870.0,7839610.0,1310,564,292,73.0,19.768,-0.2382345195,110625716700.92,58.965428060588984,14.741357015147246,4.471835169661257,5.127272727272727,2.386858343848791,3.9552240311993905,1295814.7278451798,35232.73013259,6939.0424395,19.768,4.471835169661257,5.127272727272727,9210.42702109132,13900.017730496455,0.019797427615736232,0.02861545234426584,1.028461641836973,0.04521963824289406,25.429418418914942,4
US.AKAM,2026-05-08,1491990.0,919565.0,2523,1483,964,482.0,98.3205,-0.32168504,17179457471.12,26.989295847005003,13.494647923502502,4.17226368159204,6.5,0.2767697593210569,0.49252560202245266,517658.41177542,128015.629607015,22529.076105775002,98.3205,4.17226368159204,6.5,635.0941746848903,884.1971153846154,0.3929242886178861,0.42812499999999987,4.5179598751706465,0.06718346253229973,23.566980173965476,2
US.AMD,2026-05-08,97132138.0,7810186.0,121356,20590,74238,1279.9655172413793,66.33689655172414,-0.4387554960172414,666035137005.94,814.7208105571293,14.046910526847057,2.2995057849921805,10.153439153439153,0.08334879755187115,0.530984617860976,44519078.490711674,22165357.869151484,1371926.306186054,66.33689655172414,2.2995057849921805,10.153439153439153,1626.1944416910846,6166.366013071895,0.7482439284031525,1.7918918918918918,12.730232990347123,0.19733325057984774,27.22460826436381,58
US.AMZN,2026-05-08,28958424.0,3770645.0,103548,34905,83066,3194.846153846154,30.41596153846154,-0.42186809811538456,2917005365760.12,356.8337878880079,13.724376457231074,1.9192879894608252,10.494252873563218,0.04125438159244564,0.21641444991326003,12170922.228894271,8077206.663514359,1053685.4627943381,30.41596153846154,1.9192879894608252,10.494252873563218,830.2310728566443,2370.6187050359713,0.39711044739075424,1.542168674698795,2.956963664546265,0.11218867554215967,28.70157864629174,26
