code,name,last_price,volume,turnover,option_type,strike_time,option_strike_price,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_theta,option_vega,option_expiry_date_distance,option_contract_size,stock_owner,open_price,high_price,low_price,prev_close_price,atm_degree_pct,market_val,anomaly_reason,scan_symbol,scan_timestamp
US.AAPL260506C282500,AAPL 260506 282.50C,284.18,119408,16240546.0,CALL,2026-05-06,282.5,5322,30.044,0.662074275,0.087846284,-0.914921697,0.05062457,1,100.0,US.AAPL,0.32,3.4,0.28,0.44,0.0059117460764304556,4173852828080.0,"成交额 $16,240,546 ≥ 阈值 $500,000 | 成交量 119,408 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260506C280000,AAPL 260506 280.00C,284.18,54510,11671492.0,CALL,2026-05-06,280.0,4105,31.923,0.832908221,0.056601194,-0.66239068,0.034650764,1,100.0,US.AAPL,0.73,5.2,0.68,0.93,0.014708987261594787,4173852828080.0,"成交额 $11,671,492 ≥ 阈值 $500,000 | 成交量 54,510 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C280000,AAPL 260515 280.00C,284.18,19351,9857416.0,CALL,2026-05-15,280.0,42575,24.049,0.662510501,0.032514837,-0.230910462,0.170691123,10,100.0,US.AAPL,3.0,7.55,3.0,3.25,0.014708987261594787,4173852828080.0,"成交额 $9,857,416 ≥ 阈值 $500,000 | 成交量 19,351 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260717C255000,AAPL 260717 255.00C,284.18,2756,9078178.0,CALL,2026-07-17,255.0,1984,27.461,0.842159252,0.006915996,-0.078168594,0.306074726,73,100.0,US.AAPL,29.85,34.15,29.85,27.7751,0.1026813991132381,4173852828080.0,"成交额 $9,078,178 ≥ 阈值 $500,000 | 成交量 2,756 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260821C265000,AAPL 260821 265.00C,284.18,2954,8313110.0,CALL,2026-08-21,265.0,2709,26.941,0.733538391,0.007891696,-0.081303563,0.507328227,108,100.0,US.AAPL,25.48,29.51,25.48,23.9794,0.06749243437258078,4173852828080.0,"成交额 $8,313,110 ≥ 阈值 $500,000 | 成交量 2,954 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C285000,AAPL 260515 285.00C,284.18,22923,7771553.0,CALL,2026-05-15,285.0,32222,23.798,0.488429005,0.035861881,-0.244038915,0.186322723,10,100.0,US.AAPL,1.55,4.75,1.5,1.69,-0.002885495108733877,4173852828080.0,"成交额 $7,771,553 ≥ 阈值 $500,000 | 成交量 22,923 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260506C285000,AAPL 260506 285.00C,284.18,90563,7743944.0,CALL,2026-05-06,285.0,5272,29.862,0.426703541,0.094822234,-0.970977491,0.054317758,1,100.0,US.AAPL,0.15,2.02,0.13,0.205,-0.002885495108733877,4173852828080.0,"成交额 $7,743,944 ≥ 阈值 $500,000 | 成交量 90,563 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260508C280000,AAPL 260508 280.00C,284.18,19053,6730280.0,CALL,2026-05-08,280.0,15073,29.211,0.724518035,0.045391738,-0.476702913,0.084096378,3,100.0,US.AAPL,1.76,6.1,1.55,1.885,0.014708987261594787,4173852828080.0,"成交额 $6,730,280 ≥ 阈值 $500,000 | 成交量 19,053 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260508C285000,AAPL 260508 285.00C,284.18,33890,6380273.0,CALL,2026-05-08,285.0,10042,28.07,0.463378327,0.056191325,-0.553994985,0.100053501,3,100.0,US.AAPL,0.59,3.15,0.55,0.705,-0.002885495108733877,4173852828080.0,"成交额 $6,380,273 ≥ 阈值 $500,000 | 成交量 33,890 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C250000,AAPL 260515 250.00C,284.18,1639,5269903.0,CALL,2026-05-15,250.0,9421,31.059,0.994677329,0.001053413,-0.034460774,0.007169593,10,100.0,US.AAPL,27.24,34.37,27.24,27.2815,0.12027588148356677,4173852828080.0,"成交额 $5,269,903 ≥ 阈值 $500,000 | 成交量 1,639 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260508C282500,AAPL 260508 282.50C,284.18,20107,5072965.0,CALL,2026-05-08,282.5,6843,28.285,0.602732939,0.05413336,-0.54371993,0.097123976,3,100.0,US.AAPL,1.03,4.42,0.93,1.175,0.0059117460764304556,4173852828080.0,"成交额 $5,072,965 ≥ 阈值 $500,000 | 成交量 20,107 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260529C255000,AAPL 260529 255.00C,284.18,1708,4919285.0,CALL,2026-05-29,255.0,827,26.502,0.952303384,0.005157193,-0.063351208,0.072159775,24,100.0,US.AAPL,25.8,30.4,25.59,23.4681,0.1026813991132381,4173852828080.0,"成交额 $4,919,285 ≥ 阈值 $500,000 | 成交量 1,708 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260618C300000,AAPL 260618 300.00C,284.18,11554,3939236.0,CALL,2026-06-18,300.0,91866,23.116,0.280439631,0.014792437,-0.095228327,0.331782096,44,100.0,US.AAPL,2.07,4.2,2.01,2.13,-0.05566894221971987,4173852828080.0,"成交额 $3,939,236 ≥ 阈值 $500,000 | 成交量 11,554 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260618C280000,AAPL 260618 280.00C,284.18,3587,3908855.0,CALL,2026-06-18,280.0,46761,24.167,0.606725697,0.01615226,-0.120878335,0.378863916,44,100.0,US.AAPL,8.1,12.85,8.0,8.225,0.014708987261594787,4173852828080.0,"成交额 $3,908,855 ≥ 阈值 $500,000 | 成交量 3,587 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260506P282500,AAPL 260506 282.50P,284.18,20123,3678398.0,PUT,2026-05-06,282.5,506,30.421,-0.339841789,0.086969591,-0.900460576,0.050731415,1,100.0,US.AAPL,5.61,5.7,0.91,6.0448,-0.0059117460764304556,4173852828080.0,"成交额 $3,678,398 ≥ 阈值 $500,000 | 成交量 20,123 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260717C310000,AAPL 260717 310.00C,284.18,12563,3659316.0,CALL,2026-07-17,310.0,17318,22.589,0.229835968,0.010582117,-0.065898171,0.385210658,73,100.0,US.AAPL,2.19,4.0,2.19,2.235,-0.0908579069603772,4173852828080.0,"成交额 $3,659,316 ≥ 阈值 $500,000 | 成交量 12,563 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260506P280000,AAPL 260506 280.00P,284.18,27707,3550563.0,PUT,2026-05-06,280.0,869,31.165,-0.161408473,0.056695411,-0.605124099,0.033879513,1,100.0,US.AAPL,4.0,4.03,0.34,4.0279,-0.014708987261594787,4173852828080.0,"成交额 $3,550,563 ≥ 阈值 $500,000 | 成交量 27,707 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260506C277500,AAPL 260506 277.50C,284.18,10425,3440678.0,CALL,2026-05-06,277.5,3231,34.767,0.921809865,0.030342954,-0.420531144,0.020231098,1,100.0,US.AAPL,1.58,7.1,1.48,1.855,0.02350622844675912,4173852828080.0,"成交额 $3,440,678 ≥ 阈值 $500,000 | 成交量 10,425 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C277500,AAPL 260515 277.50C,284.18,4991,3344493.0,CALL,2026-05-15,277.5,3391,24.412,0.737976206,0.028550088,-0.211540293,0.15211908,10,100.0,US.AAPL,4.25,9.03,4.14,4.375,0.02350622844675912,4173852828080.0,"成交额 $3,344,493 ≥ 阈值 $500,000 | 成交量 4,991 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260618C290000,AAPL 260618 290.00C,284.18,5212,3221359.0,CALL,2026-06-18,290.0,30959,23.55,0.438770459,0.016991891,-0.116483598,0.388378711,44,100.0,US.AAPL,4.3,7.56,4.04,4.35,-0.020479977479062543,4173852828080.0,"成交额 $3,221,359 ≥ 阈值 $500,000 | 成交量 5,212 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260618C285000,AAPL 260618 285.00C,284.18,3458,2995008.0,CALL,2026-06-18,285.0,18069,23.784,0.523588545,0.016995644,-0.120819515,0.392342786,44,100.0,US.AAPL,6.0,10.05,5.94,6.05,-0.002885495108733877,4173852828080.0,"成交额 $2,995,008 ≥ 阈值 $500,000 | 成交量 3,458 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260508C275000,AAPL 260508 275.00C,284.18,4134,2787186.0,CALL,2026-05-08,275.0,5287,29.719,0.898071468,0.023774521,-0.24004431,0.044801946,3,100.0,US.AAPL,4.2,10.0,3.85,4.2267,0.03230346963192345,4173852828080.0,"成交额 $2,787,186 ≥ 阈值 $500,000 | 成交量 4,134 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C282500,AAPL 260515 282.50C,284.18,5470,2638631.0,CALL,2026-05-15,282.5,2723,23.564,0.578368269,0.035531901,-0.23981633,0.182788162,10,100.0,US.AAPL,2.2,6.0,2.2,2.39,0.0059117460764304556,4173852828080.0,"成交额 $2,638,631 ≥ 阈值 $500,000 | 成交量 5,470 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C275000,AAPL 260515 275.00C,284.18,3085,2506019.0,CALL,2026-05-15,275.0,21887,24.61,0.803991528,0.024051623,-0.184332006,0.12916902,10,100.0,US.AAPL,5.7,11.05,5.4,5.6906,0.03230346963192345,4173852828080.0,"成交额 $2,506,019 ≥ 阈值 $500,000 | 成交量 3,085 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260618C200000,AAPL 260618 200.00C,284.18,293,2482000.0,CALL,2026-06-18,200.0,6544,0.0,0.0,0.0,0.0,0.0,44,100.0,US.AAPL,79.9,85.02,79.9,77.8764,0.2962207051868534,4173852828080.0,"成交额 $2,482,000 ≥ 阈值 $500,000 | 成交量 293 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260515C290000,AAPL 260515 290.00C,284.18,12363,2402420.0,CALL,2026-05-15,290.0,30531,23.74,0.317485847,0.032132462,-0.21279771,0.166503141,10,100.0,US.AAPL,0.8,2.7,0.72,0.87,-0.020479977479062543,4173852828080.0,"成交额 $2,402,420 ≥ 阈值 $500,000 | 成交量 12,363 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260918C275000,AAPL 260918 275.00C,284.18,945,2259501.0,CALL,2026-09-18,275.0,5341,26.177,0.644311075,0.008208077,-0.0780739,0.645890529,136,100.0,US.AAPL,20.0,25.15,20.0,20.2,0.03230346963192345,4173852828080.0,"成交额 $2,259,501 ≥ 阈值 $500,000 | 成交量 945 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260717C280000,AAPL 260717 280.00C,284.18,1579,2257163.0,CALL,2026-07-17,280.0,41463,24.107,0.602053633,0.012604214,-0.096794,0.489866508,73,100.0,US.AAPL,11.2,15.85,10.63,11.125,0.014708987261594787,4173852828080.0,"成交额 $2,257,163 ≥ 阈值 $500,000 | 成交量 1,579 手",US.AAPL,2026-05-06 07:59:46
US.AAPL260821C260000,AAPL 260821 260.00C,284.18,679,2209203.0,CALL,2026-08-21,260.0,4264,27.708,0.769397674,0.007104095,-0.078881618,0.469667232,108,100.0,US.AAPL,29.5,33.25,29.5,27.401,0.08508691674290944,4173852828080.0,"成交额 $2,209,203 ≥ 阈值 $500,000 | 成交量 679 手",US.AAPL,2026-05-06 07:59:46
