code,name,last_price,volume,turnover,option_type,strike_time,option_strike_price,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_theta,option_vega,option_expiry_date_distance,option_contract_size,stock_owner,open_price,high_price,low_price,prev_close_price,atm_degree_pct,market_val,anomaly_reason,scan_symbol,scan_timestamp
US.AAPL260717C295000,AAPL 260717 295.00C,287.423,60849,71673447.0,CALL,2026-07-17,295.0,89791,22.661,0.444563012,0.013754002,-0.092054369,0.500786872,71,100.0,US.AAPL,10.35,12.0,8.25,9.525,-0.02636184299795075,4221483923588.0,"成交额 $71,673,447 ≥ 阈值 $500,000 | 成交量 60,849 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260821C320000,AAPL 260821 320.00C,287.423,86339,56316433.0,CALL,2026-08-21,320.0,5477,24.149,0.248705987,0.008472269,-0.062567646,0.490642741,106,100.0,US.AAPL,5.6,6.65,4.9,5.275,-0.11334166020116691,4221483923588.0,"成交额 $56,316,433 ≥ 阈值 $500,000 | 成交量 86,339 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260508C290000,AAPL 260508 290.00C,287.423,128402,23178070.0,CALL,2026-05-08,290.0,22043,28.197,0.276513932,0.079201595,-0.731902364,0.050112641,1,100.0,US.AAPL,1.68,3.45,0.42,1.195,-0.008965879557307516,4221483923588.0,"成交额 $23,178,070 ≥ 阈值 $500,000 | 成交量 128,402 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260618C300000,AAPL 260618 300.00C,287.423,28539,15304652.0,CALL,2026-06-18,300.0,107716,22.631,0.321011097,0.01622959,-0.103208852,0.349012103,42,100.0,US.AAPL,5.35,6.75,3.95,4.85,-0.043757806438593984,4221483923588.0,"成交额 $15,304,652 ≥ 阈值 $500,000 | 成交量 28,539 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260618C250000,AAPL 260618 250.00C,287.423,2859,11798763.0,CALL,2026-06-18,250.0,17619,29.882,0.928996596,0.004659659,-0.069608283,0.132287232,42,100.0,US.AAPL,41.2,44.09,37.4,39.6998,0.13020182796783836,4221483923588.0,"成交额 $11,798,763 ≥ 阈值 $500,000 | 成交量 2,859 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260508C292500,AAPL 260508 292.50C,287.423,94756,10451616.0,CALL,2026-05-08,292.5,16107,29.123,0.127274339,0.047778286,-0.457599665,0.031215497,1,100.0,US.AAPL,0.96,2.07,0.16,0.635,-0.01766386127762913,4221483923588.0,"成交额 $10,451,616 ≥ 阈值 $500,000 | 成交量 94,756 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260515C290000,AAPL 260515 290.00C,287.423,25327,10243404.0,CALL,2026-05-15,290.0,33066,22.658,0.410737544,0.040358519,-0.253150399,0.165394467,8,100.0,US.AAPL,3.79,5.6,2.29,3.175,-0.008965879557307516,4221483923588.0,"成交额 $10,243,404 ≥ 阈值 $500,000 | 成交量 25,327 手",US.AAPL,2026-05-08 04:16:04
US.AAPL261120C255000,AAPL 261120 255.00C,287.423,2102,9462847.0,CALL,2026-11-20,255.0,493,28.713,0.778210529,0.004905853,-0.063575086,0.628040853,197,100.0,US.AAPL,48.2,48.2,45.01,46.3224,0.11280586452719511,4221483923588.0,"成交额 $9,462,847 ≥ 阈值 $500,000 | 成交量 2,102 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260821C250000,AAPL 260821 250.00C,287.423,2105,9053515.0,CALL,2026-08-21,250.0,4181,28.885,0.851301874,0.005181249,-0.069041161,0.358894347,106,100.0,US.AAPL,45.48,48.0,42.8,44.1287,0.13020182796783836,4221483923588.0,"成交额 $9,053,515 ≥ 阈值 $500,000 | 成交量 2,105 手",US.AAPL,2026-05-08 04:16:04
US.AAPL260515C215000,AAPL 260515 215.00C,287.423,1115,8274669.0,CALL,2026-05-15,215.0,1198,0.0,0.0,0.0,0.0,0.0,8,100.0,US.AAPL,75.34,76.1,71.81,72.6227,0.251973572052341,4221483923588.0,"成交额 $8,274,669 ≥ 阈值 $500,000 | 成交量 1,115 手",US.AAPL,2026-05-08 04:16:04
