code,name,last_price,volume,turnover,option_type,strike_time,option_strike_price,option_open_interest,option_implied_volatility,option_delta,option_gamma,option_theta,option_vega,option_expiry_date_distance,option_contract_size,stock_owner,atm_degree_pct,anomaly_reason,scan_symbol,scan_timestamp
US.ARM260821P200000,ARM 260821 200.00P,211.18,2610,6836008.0,PUT,2026-08-21,200.0,66,72.539,-0.359762937,0.004437261,-0.133380746,0.437166005,112,100.0,US.ARM,-0.05294061937683496,"成交额 $6,836,008 ≥ 阈值 $500,000 | 成交量 2,610 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C220000,ARM 260508 220.00C,211.18,2479,2608410.0,CALL,2026-05-08,220.0,1135,107.62,0.421652012,0.012511692,-0.925152168,0.113667605,7,100.0,US.ARM,-0.04176531868548155,"成交额 $2,608,410 ≥ 阈值 $500,000 | 成交量 2,479 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C240000,ARM 260508 240.00C,211.18,3945,2150938.0,CALL,2026-05-08,240.0,2009,114.26,0.232446225,0.009200771,-0.746816711,0.088743788,7,100.0,US.ARM,-0.13647125674779806,"成交额 $2,150,938 ≥ 阈值 $500,000 | 成交量 3,945 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C227500,ARM 260508 227.50C,211.18,1461,1203527.0,CALL,2026-05-08,227.5,83,109.484,0.339322581,0.011509887,-0.873694635,0.106376147,7,100.0,US.ARM,-0.07728004545885024,"成交额 $1,203,527 ≥ 阈值 $500,000 | 成交量 1,461 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C250000,ARM 260508 250.00C,211.18,2615,949420.0,CALL,2026-05-08,250.0,1841,117.688,0.169284622,0.007380576,-0.624334202,0.073322847,7,100.0,US.ARM,-0.1838242257789563,"成交额 $949,420 ≥ 阈值 $500,000 | 成交量 2,615 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C222500,ARM 260508 222.50C,211.18,866,866706.0,CALL,2026-05-08,222.5,96,108.746,0.393731508,0.012175811,-0.917089394,0.111772933,7,100.0,US.ARM,-0.05360356094327111,"成交额 $866,706 ≥ 阈值 $500,000 | 成交量 866 手",US.ARM,2026-05-02 07:11:04
US.ARM260618P200000,ARM 260618 200.00P,211.18,514,858122.0,PUT,2026-06-18,200.0,1799,74.285,-0.362305859,0.006613542,-0.215249777,0.286778793,48,100.0,US.ARM,-0.05294061937683496,"成交额 $858,122 ≥ 阈值 $500,000 | 成交量 514 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C207500,ARM 260508 207.50C,211.18,486,738080.0,CALL,2026-05-08,207.5,608,109.994,0.577839266,0.01224481,-0.950862093,0.113697012,7,100.0,US.ARM,0.01742589260346627,"成交额 $738,080 ≥ 阈值 $500,000 | 成交量 486 手",US.ARM,2026-05-02 07:11:04
US.ARM260508C195000,ARM 260508 195.00C,211.18,218,527289.0,CALL,2026-05-08,195.0,316,110.91,0.726804028,0.010320964,-0.810455236,0.096630793,7,100.0,US.ARM,0.07661710389241408,"成交额 $527,289 ≥ 阈值 $500,000 | 成交量 218 手",US.ARM,2026-05-02 07:11:04
US.BABA260821C160000,BABA 260821 160.00C,131.5,5140,2370558.0,CALL,2026-08-21,160.0,935,44.253,0.263479906,0.010135423,-0.05004015,0.237769285,112,100.0,US.BABA,-0.21673003802281368,"成交额 $2,370,558 ≥ 阈值 $500,000 | 成交量 5,140 手",US.BABA,2026-05-02 07:11:33
US.BABA260529P140000,BABA 260529 140.00P,131.5,1024,1127240.0,PUT,2026-05-29,140.0,28,47.815,-0.652861218,0.021497864,-0.107480171,0.134033753,28,100.0,US.BABA,0.06463878326996197,"成交额 $1,127,240 ≥ 阈值 $500,000 | 成交量 1,024 手",US.BABA,2026-05-02 07:11:33
US.BABA260618C150000,BABA 260618 150.00C,131.5,3496,1078460.0,CALL,2026-06-18,150.0,20839,46.51,0.251861095,0.01439757,-0.076901679,0.151973171,48,100.0,US.BABA,-0.14068441064638784,"成交额 $1,078,460 ≥ 阈值 $500,000 | 成交量 3,496 手",US.BABA,2026-05-02 07:11:33
US.BABA260508C132000,BABA 260508 132.00C,131.5,3306,930770.0,CALL,2026-05-08,132.0,690,37.697,0.486438572,0.058460326,-0.210550152,0.072133827,7,100.0,US.BABA,-0.0038022813688212928,"成交额 $930,770 ≥ 阈值 $500,000 | 成交量 3,306 手",US.BABA,2026-05-02 07:11:33
US.BABA260618C140000,BABA 260618 140.00C,131.5,1661,889394.0,CALL,2026-06-18,140.0,16340,44.849,0.391683872,0.017978524,-0.090626556,0.183007902,48,100.0,US.BABA,-0.06463878326996197,"成交额 $889,394 ≥ 阈值 $500,000 | 成交量 1,661 手",US.BABA,2026-05-02 07:11:33
US.BABA260515C140000,BABA 260515 140.00C,131.5,3073,804953.0,CALL,2026-05-15,140.0,21117,53.617,0.29705538,0.025148569,-0.176879734,0.088848024,14,100.0,US.BABA,-0.06463878326996197,"成交额 $804,953 ≥ 阈值 $500,000 | 成交量 3,073 手",US.BABA,2026-05-02 07:11:33
