stock_owner,active_days,persistence_ratio,max_consecutive_days,total_turnover,max_daily_turnover,peak_date,dominant_bucket,window_days,bp_ATM_active_days,bp_ATM_ratio,bp_DEEP_ITM_active_days,bp_DEEP_ITM_ratio,bp_DEEP_OTM_active_days,bp_DEEP_OTM_ratio
US.AAL,1,1.0,1,6052292.0,6052292.0,2026-05-09,DEEP_OTM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.AAPL,1,1.0,1,539319627.0,539319627.0,2026-05-09,ATM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.ABNB,1,1.0,1,505293.0,505293.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.ABT,1,1.0,1,44268557.0,44268557.0,2026-05-09,DEEP_ITM,1,,,1.0,1.0,,
US.ACLS,1,1.0,1,772855.0,772855.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.ADBE,1,1.0,1,9993703.0,9993703.0,2026-05-09,ATM,1,1.0,1.0,,,1.0,1.0
US.ADI,1,1.0,1,69604704.0,69604704.0,2026-05-09,DEEP_ITM,1,1.0,1.0,1.0,1.0,,
US.ADM,1,1.0,1,365994.0,365994.0,2026-05-09,DEEP_OTM,1,,,,,1.0,1.0
US.AGX,1,1.0,1,2305255.0,2305255.0,2026-05-09,DEEP_OTM,1,,,,,1.0,1.0
US.AKAM,1,1.0,1,37159362.0,37159362.0,2026-05-09,DEEP_ITM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.ALB,1,1.0,1,3565625.0,3565625.0,2026-05-09,DEEP_OTM,1,1.0,1.0,,,1.0,1.0
US.ALL,1,1.0,1,304500.0,304500.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.AMAT,1,1.0,1,12631460.0,12631460.0,2026-05-09,ATM,1,1.0,1.0,,,1.0,1.0
US.AMD,1,1.0,1,1514964880.0,1514964880.0,2026-05-09,DEEP_ITM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.AMKR,1,1.0,1,2080031.0,2080031.0,2026-05-09,DEEP_ITM,1,1.0,1.0,1.0,1.0,,
US.AMT,1,1.0,1,861749.0,861749.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.AMZN,1,1.0,1,96104639.0,96104639.0,2026-05-09,ATM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.ANET,1,1.0,1,2144507.0,2144507.0,2026-05-09,ATM,1,1.0,1.0,1.0,1.0,,
US.APH,1,1.0,1,14166827.0,14166827.0,2026-05-09,ATM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.APO,1,1.0,1,1722775.0,1722775.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.APP,1,1.0,1,32861901.0,32861901.0,2026-05-09,ATM,1,1.0,1.0,,,1.0,1.0
US.ARES,1,1.0,1,414236.0,414236.0,2026-05-09,DEEP_OTM,1,,,,,1.0,1.0
US.ARM,1,1.0,1,23451931.0,23451931.0,2026-05-09,ATM,1,1.0,1.0,1.0,1.0,1.0,1.0
US.ARWR,1,1.0,1,367456.0,367456.0,2026-05-09,ATM,1,1.0,1.0,,,,
US.ASML,1,1.0,1,15547178.0,15547178.0,2026-05-09,ATM,1,1.0,1.0,,,1.0,1.0
