stock_owner,active_days,persistence_ratio,max_consecutive_days,total_turnover,max_daily_turnover,peak_date,dominant_bucket,window_days,bp_ATM_active_days,bp_ATM_ratio,bp_DEEP_ITM_active_days,bp_DEEP_ITM_ratio,bp_DEEP_OTM_active_days,bp_DEEP_OTM_ratio
US.AA,1,0.3333,1,1272902.0,1272902.0,2026-05-08,ATM,3,1.0,0.3333333333333333,,,,
US.AAL,3,1.0,3,9778353.0,6052292.0,2026-05-09,DEEP_OTM,3,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.6666666666666666
US.AAON,1,0.3333,1,10137883.0,10137883.0,2026-05-08,DEEP_ITM,3,,,1.0,0.3333333333333333,1.0,0.3333333333333333
US.AAPL,3,1.0,3,1272379238.0,539319627.0,2026-05-09,ATM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.ABBV,1,0.3333,1,4051747.0,4051747.0,2026-05-08,DEEP_ITM,3,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
US.ABNB,3,1.0,3,8355097.0,6997804.0,2026-05-08,ATM,3,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
US.ABT,2,0.6667,2,69160142.0,44268557.0,2026-05-09,DEEP_ITM,3,,,2.0,0.6666666666666666,,
US.ACLS,1,0.3333,1,772855.0,772855.0,2026-05-09,ATM,3,1.0,0.3333333333333333,,,,
US.ACN,2,0.6667,2,15266370.0,13105870.0,2026-05-08,DEEP_ITM,3,1.0,0.3333333333333333,1.0,0.3333333333333333,,
US.ADBE,3,1.0,3,16632684.0,9993703.0,2026-05-09,ATM,3,3.0,1.0,,,1.0,0.3333333333333333
US.ADI,3,1.0,3,71970649.0,69604704.0,2026-05-09,DEEP_ITM,3,3.0,1.0,1.0,0.3333333333333333,,
US.ADM,1,0.3333,1,365994.0,365994.0,2026-05-09,DEEP_OTM,3,,,,,1.0,0.3333333333333333
US.AEP,1,0.3333,1,27431308.0,27431308.0,2026-05-08,DEEP_ITM,3,1.0,0.3333333333333333,1.0,0.3333333333333333,,
US.AGX,1,0.3333,1,2305255.0,2305255.0,2026-05-09,DEEP_OTM,3,,,,,1.0,0.3333333333333333
US.AKAM,3,1.0,3,56646939.0,37159362.0,2026-05-09,DEEP_ITM,3,3.0,1.0,2.0,0.6666666666666666,3.0,1.0
US.ALB,3,1.0,3,11810989.0,5892488.0,2026-05-07,ATM,3,3.0,1.0,,,2.0,0.6666666666666666
US.ALK,1,0.3333,1,622376.0,622376.0,2026-05-07,DEEP_OTM,3,,,,,1.0,0.3333333333333333
US.ALL,1,0.3333,1,304500.0,304500.0,2026-05-09,ATM,3,1.0,0.3333333333333333,,,,
US.AMAT,3,1.0,3,24936502.0,12631460.0,2026-05-09,ATM,3,3.0,1.0,1.0,0.3333333333333333,2.0,0.6666666666666666
US.AMD,3,1.0,3,3451005309.0,1514964880.0,2026-05-09,DEEP_ITM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.AMKR,2,0.6667,2,3014386.0,2080031.0,2026-05-09,ATM,3,2.0,0.6666666666666666,1.0,0.3333333333333333,,
US.AMT,1,0.3333,1,861749.0,861749.0,2026-05-09,ATM,3,1.0,0.3333333333333333,,,,
US.AMZN,3,1.0,3,524173189.0,240563039.0,2026-05-07,ATM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.ANET,3,1.0,3,23576078.0,19281132.0,2026-05-07,ATM,3,3.0,1.0,2.0,0.6666666666666666,2.0,0.6666666666666666
US.ANF,1,0.3333,1,1350510.0,1350510.0,2026-05-08,ATM,3,1.0,0.3333333333333333,,,,
US.APH,1,0.3333,1,14166827.0,14166827.0,2026-05-09,ATM,3,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333
US.APO,2,0.6667,2,2405674.0,1722775.0,2026-05-09,ATM,3,2.0,0.6666666666666666,,,,
US.APP,3,1.0,3,142894933.0,68944011.0,2026-05-08,ATM,3,3.0,1.0,2.0,0.6666666666666666,3.0,1.0
US.AR,1,0.3333,1,1280322.0,1280322.0,2026-05-08,ATM,3,1.0,0.3333333333333333,,,,
US.ARES,2,0.6667,1,1610073.0,1195837.0,2026-05-07,ATM,3,1.0,0.3333333333333333,,,1.0,0.3333333333333333
US.ARM,3,1.0,3,300603940.0,203759772.0,2026-05-07,ATM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.ARWR,1,0.3333,1,367456.0,367456.0,2026-05-09,ATM,3,1.0,0.3333333333333333,,,,
US.ASML,3,1.0,3,68375447.0,48608478.0,2026-05-07,ATM,3,3.0,1.0,,,3.0,1.0
US.ATI,1,0.3333,1,2187951.0,2187951.0,2026-05-08,ATM,3,1.0,0.3333333333333333,,,1.0,0.3333333333333333
US.AVAV,2,0.6667,2,17239519.0,11034162.0,2026-05-08,ATM,3,2.0,0.6666666666666666,2.0,0.6666666666666666,1.0,0.3333333333333333
US.AVGO,3,1.0,3,313834234.0,114022500.0,2026-05-09,ATM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.AXON,2,0.6667,2,7905183.0,6803497.0,2026-05-07,ATM,3,2.0,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333
US.AXP,2,0.6667,2,1965438.0,1459323.0,2026-05-09,DEEP_OTM,3,1.0,0.3333333333333333,,,2.0,0.6666666666666666
US.BA,3,1.0,3,48737743.0,22508381.0,2026-05-09,ATM,3,3.0,1.0,2.0,0.6666666666666666,3.0,1.0
US.BABA,3,1.0,3,110547155.0,63852718.0,2026-05-07,ATM,3,3.0,1.0,3.0,1.0,3.0,1.0
US.BAC,3,1.0,3,15767458.0,14062000.0,2026-05-09,ATM,3,3.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333
US.BG,1,0.3333,1,717241.0,717241.0,2026-05-07,ATM,3,1.0,0.3333333333333333,,,,
US.BIDU,3,1.0,3,14509164.0,7431197.0,2026-05-09,ATM,3,2.0,0.6666666666666666,1.0,0.3333333333333333,3.0,1.0
US.BIIB,1,0.3333,1,3314297.0,3314297.0,2026-05-09,DEEP_ITM,3,,,1.0,0.3333333333333333,,
US.BILI,1,0.3333,1,659577.0,659577.0,2026-05-07,ATM,3,1.0,0.3333333333333333,,,,
US.BKNG,2,0.6667,1,6353496.0,3462500.0,2026-05-07,ATM,3,2.0,0.6666666666666666,,,,
US.BLK,1,0.3333,1,1941894.0,1941894.0,2026-05-09,ATM,3,1.0,0.3333333333333333,,,,
