stock_owner,stop_status,peak_date,peak_turnover,stop_date,active_days,persistence_ratio,dominant_bucket
US.AAL,ONGOING,2026-05-09,6052292.0,,2,1.0,DEEP_OTM
US.AAPL,ONGOING,2026-05-09,539319627.0,,2,1.0,ATM
US.ABNB,ACTIVE,2026-05-08,6997804.0,,2,1.0,ATM
US.ABT,ONGOING,2026-05-09,44268557.0,,2,1.0,DEEP_ITM
US.ADBE,ONGOING,2026-05-09,9993703.0,,2,1.0,ATM
US.ADI,ONGOING,2026-05-09,69604704.0,,2,1.0,DEEP_ITM
US.AKAM,ONGOING,2026-05-09,37159362.0,,2,1.0,DEEP_ITM
US.ALB,ONGOING,2026-05-09,3565625.0,,2,1.0,DEEP_OTM
US.AMAT,ONGOING,2026-05-09,12631460.0,,2,1.0,ATM
US.AMD,ONGOING,2026-05-09,1514964880.0,,2,1.0,DEEP_ITM
US.AMKR,ONGOING,2026-05-09,2080031.0,,2,1.0,ATM
US.AMZN,ACTIVE,2026-05-08,187505511.0,,2,1.0,ATM
US.ANET,ACTIVE,2026-05-08,2150439.0,,2,1.0,ATM
US.APO,ONGOING,2026-05-09,1722775.0,,2,1.0,ATM
US.APP,ACTIVE,2026-05-08,68944011.0,,2,1.0,ATM
US.ARM,ACTIVE,2026-05-08,73392237.0,,2,1.0,ATM
US.ASML,ONGOING,2026-05-09,15547178.0,,2,1.0,ATM
US.AVGO,ONGOING,2026-05-09,114022500.0,,2,1.0,ATM
US.AXP,ONGOING,2026-05-09,1459323.0,,2,1.0,DEEP_OTM
US.BA,ONGOING,2026-05-09,22508381.0,,2,1.0,ATM
US.BABA,ACTIVE,2026-05-08,27123291.0,,2,1.0,ATM
US.BAC,ONGOING,2026-05-09,14062000.0,,2,1.0,ATM
US.BIDU,ONGOING,2026-05-09,7431197.0,,2,1.0,ATM
US.BRK.B,ONGOING,2026-05-09,1562306.0,,2,1.0,ATM
US.BSX,ACTIVE,2026-05-08,30055694.0,,2,1.0,DEEP_ITM
US.BX,ACTIVE,2026-05-08,7407875.0,,2,1.0,DEEP_ITM
US.C,ONGOING,2026-05-09,9996275.0,,2,1.0,ATM
US.CAH,ACTIVE,2026-05-08,595335.0,,2,1.0,ATM
US.CAR,ACTIVE,2026-05-08,128718752.0,,2,1.0,DEEP_ITM
US.CAT,ACTIVE,2026-05-08,5260468.0,,2,1.0,ATM
US.CCL,ACTIVE,2026-05-08,5629120.0,,2,1.0,DEEP_OTM
US.CEG,ONGOING,2026-05-09,6376516.0,,2,1.0,ATM
US.CELH,ONGOING,2026-05-09,3055251.0,,2,1.0,DEEP_OTM
US.CLX,ACTIVE,2026-05-08,2853840.0,,2,1.0,DEEP_OTM
US.COHR,ACTIVE,2026-05-08,28021524.0,,2,1.0,ATM
US.COIN,ACTIVE,2026-05-08,74234831.0,,2,1.0,ATM
US.COP,ONGOING,2026-05-09,80495164.0,,2,1.0,DEEP_ITM
US.CRM,ONGOING,2026-05-09,22445976.0,,2,1.0,DEEP_ITM
US.CRWD,ACTIVE,2026-05-08,26138308.0,,2,1.0,ATM
US.CVNA,ACTIVE,2026-05-08,33058182.0,,2,1.0,ATM
US.CVS,ONGOING,2026-05-09,3071787.0,,2,1.0,ATM
US.CVX,ONGOING,2026-05-09,2071392.0,,2,1.0,ATM
US.DAL,ACTIVE,2026-05-08,1946546.0,,2,1.0,ATM
US.DASH,ONGOING,2026-05-09,15304658.0,,2,1.0,DEEP_ITM
US.DDOG,ACTIVE,2026-05-08,117183701.0,,2,1.0,DEEP_ITM
US.DELL,ONGOING,2026-05-09,54902876.0,,2,1.0,ATM
US.DHR,ACTIVE,2026-05-08,22775316.0,,2,1.0,DEEP_ITM
US.DIS,ONGOING,2026-05-09,4140381.0,,2,1.0,DEEP_ITM
US.DOCN,ACTIVE,2026-05-08,7332743.0,,2,1.0,DEEP_ITM
US.DOCS,ACTIVE,2026-05-08,576004.0,,2,1.0,ATM
