stock_owner,trade_date,deep_turnover,deep_volume,deep_contracts,deep_oi_sum,deep_avg_churn,deep_max_churn,deep_avg_notional_churn,deep_avg_iv,deep_avg_delta,day_total_turnover,deep_turnover_share,is_churning
US.AAL,2026-05-07,1612457.0,2306,2,170,13.375,16.6,7.270853189936459,245.2195,0.9240230684999999,1612457.0,1.0,True
US.AAPL,2026-05-07,81809387.0,12173,21,105953,17.133275693651065,330.0,7.556419328708508,38.07828571428571,0.8498437569999999,232296169.0,0.35217708217994764,True
US.AMD,2026-05-07,606035793.0,92403,99,323424,0.39941677513528373,2.7889908256880735,0.06798278578099375,81.61719191919192,0.8278762105757576,1201845104.0,0.5042544925157011,False
US.AMZN,2026-05-07,124334210.0,19255,20,248598,0.13573957084175844,0.5339509659925432,0.03795504338758203,58.340650000000004,0.9142201276999999,229776568.0,0.5411091787218268,False
US.ANET,2026-05-07,4409472.0,1113,3,2795,0.5342198770397525,0.9136690647482014,0.2630225864630999,37.55566666666667,0.5597233236666667,9860066.0,0.4472051201279991,False
US.ARM,2026-05-07,41792361.0,13401,23,30294,0.8086587471713161,4.285714285714286,0.1310237630593519,148.66713043478262,0.7589105400869565,178384149.0,0.2342829294771028,False
US.AVAV,2026-05-07,2205512.0,820,2,0,410.0,410.0,1102756.0,100.4025,0.88341347,6205357.0,0.3554206470312667,True
US.AVGO,2026-05-07,20256915.0,2519,8,25759,71.77394205539065,230.0,918686.2799182408,56.94425,0.90155382275,81017012.0,0.2500328572966873,True
US.BABA,2026-05-07,3430746.0,1992,4,10363,0.3206880666011253,0.4186046511627907,0.039641875279055765,58.721000000000004,0.8407282885,60096798.0,0.05708700154041485,False
US.BIDU,2026-05-07,3115103.0,2144,4,10899,0.33126846135237753,0.83003300330033,0.02899816241827213,71.1785,0.8207150814999999,6212971.0,0.5013870175798342,False
US.CAT,2026-05-07,13777375.0,516,2,1098,0.5506420648075627,0.8207792207792208,0.12458110917044463,78.2245,0.8502426705,16307599.0,0.8448438669604275,False
US.CIEN,2026-05-07,2306217.0,212,1,768,0.2760416666666667,0.2760416666666667,0.05206204543681409,92.755,0.712043158,4962013.0,0.46477447761624163,False
US.COIN,2026-05-07,1821997.0,1020,1,1138,0.8963093145869947,0.8963093145869947,0.08087754320785545,151.186,0.784011618,15086213.0,0.12077232371039703,False
US.COP,2026-05-07,1363705.0,1469,1,3009,0.48820206048521103,0.48820206048521103,0.03811679623311171,29.849,0.956087438,2610520.0,0.522388259810306,False
US.CRM,2026-05-07,572063.0,217,1,159,1.3647798742138364,1.3647798742138364,0.19856948524447565,43.69,0.711991557,9335842.0,0.0612759941738517,False
US.CSCO,2026-05-07,3208256.0,2485,3,2211,8.45944109210234,24.152173913043477,1.1112083537444917,27.818,0.6150308953333333,7269433.0,0.4413351082539725,True
US.DELL,2026-05-07,14316161.0,6967,11,16996,1.1776382285077542,8.628571428571428,0.15627308584434027,67.56690909090909,0.8287333067272727,46711806.0,0.3064784307418985,False
US.DHI,2026-05-07,656200.0,340,1,97,3.5051546391752577,3.5051546391752577,0.45350596323712866,34.916,0.994759333,656200.0,1.0,False
US.DIS,2026-05-07,685450.0,404,1,873,0.4627720504009164,0.4627720504009164,0.07266019747630766,0.0,0.0,685450.0,1.0,False
US.DOCN,2026-05-07,1305622.0,231,1,5938,0.038901987201077806,0.038901987201077806,0.01365772505927087,319.376,0.983704386,14340450.0,0.09104470222343092,False
US.DVA,2026-05-07,5110895.0,1827,2,2267,0.8397629018828018,0.9400798934753661,0.11812897196813008,35.042500000000004,0.894954068,7725287.0,0.6615799516574594,False
US.ETN,2026-05-07,22467053.0,1065,2,1073,0.9937792590041895,0.9969418960244648,0.4788352787174076,0.0,0.0,22467053.0,1.0,False
US.FANG,2026-05-07,730246.0,534,1,982,0.5437881873727087,0.5437881873727087,0.03811930308397161,33.581,0.94216614,1432986.0,0.5095974419847786,False
US.FCX,2026-05-07,594833.0,782,1,19772,0.03955088003236901,0.03955088003236901,0.004940813697900191,49.32,0.761546389,8836845.0,0.06731282488263628,False
US.FE,2026-05-07,1649200.0,1230,2,245,15.261111111111111,27.5,5.27488108305891,27.1615,0.4684977495,1649200.0,1.0,True
US.FLEX,2026-05-07,4703352.0,2252,5,4174,10.914629507388117,52.9,0.8301461151630773,40.077999999999996,0.5026447234,6958781.0,0.6758873429125015,False
US.GLW,2026-05-07,13706196.0,4600,8,16440,0.3276103656976164,0.6076555023923444,0.04781528254431261,82.606875,0.826056144,64659398.0,0.21197531099810116,False
US.GOOG,2026-05-07,55018039.0,7097,10,32791,13.958955328077838,62.5,3.6773607461221105,40.8997,0.828722436,176719342.0,0.3113300353958991,True
US.GOOGL,2026-05-07,44877349.0,7222,15,115891,0.11346505987689473,0.7385964912280701,0.015265132345575565,41.33386666666667,0.8676580622666668,230698891.0,0.19452780551077725,False
