stock_owner,trade_date,moneyness_bucket,bucket_turnover,bucket_volume,bucket_contracts,bucket_oi_sum,bucket_avg_iv,bucket_avg_delta,bucket_avg_churn,bucket_max_churn,bucket_avg_notional_churn,bucket_max_notional_churn,bucket_delta_flow,bucket_vega_flow,day_total_turnover,bucket_turnover_share
US.AAL,2026-05-07,DEEP_ITM,1612457.0,2306,2,170,245.2195,0.9240230684999999,13.375,16.6,7.270853189936459,8.276627168126396,1479739.496946937,9854.543520053001,1612457.0,1.0
US.AAPL,2026-05-07,ATM,139579805.0,374695,61,942723,24.754918032786886,0.5497590398852459,0.9104155655996108,6.239583333333333,0.012601738163012879,0.08439164451996248,79593000.92896566,34820005.32677045,232296169.0,0.6008700255405417
US.AAPL,2026-05-07,DEEP_ITM,81809387.0,12173,21,105953,38.07828571428571,0.8498437569999999,17.133275693651065,330.0,7.556419328708508,147.52194195426887,76399117.2989688,6680596.027977634,232296169.0,0.35217708217994764
US.AAPL,2026-05-07,DEEP_OTM,10906977.0,26339,8,101923,23.791125,0.26774411375,0.8360473460283887,4.16243654822335,0.008828226686432853,0.023618120849316717,3016703.239073908,5531458.532540207,232296169.0,0.04695289227951065
US.ABNB,2026-05-07,DEEP_OTM,852000.0,750,1,718,39.571,0.471935726,1.0445682451253482,1.0445682451253482,0.08483196500303085,0.08483196500303085,402089.238552,316885.572396,852000.0,1.0
US.ACN,2026-05-07,ATM,2160500.0,1271,1,76,47.013,0.519490431,16.723684210526315,16.723684210526315,1.6284373935353937,1.6284373935353937,1122359.0761755002,813501.44774,2160500.0,1.0
US.ADBE,2026-05-07,ATM,814459.0,938,1,3100,49.491,0.52354801,0.3025806451612903,0.3025806451612903,0.010502007022321595,0.010502007022321595,426408.38867658994,127063.29656525499,814459.0,1.0
US.AKAM,2026-05-07,ATM,8486698.0,9007,4,8516,77.09825000000001,0.5848264089999999,1.6605742602171825,4.128765060240964,0.1255667581356921,0.30396792103243697,5330403.451982626,915881.554449612,9110003.0,0.9315801542546144
US.AKAM,2026-05-07,DEEP_OTM,623305.0,478,1,35,53.505,0.496047469,13.657142857142857,13.657142857142857,1.4598503390207629,1.4598503390207629,309188.867665045,223401.39284964,9110003.0,0.0684198457453856
US.ALB,2026-05-07,ATM,535870.0,599,1,76,84.301,0.453375324,7.881578947368421,7.881578947368421,0.3660724288786449,0.3660724288786449,242950.23487188,64038.18192748,535870.0,1.0
US.ALK,2026-05-07,DEEP_OTM,622376.0,2008,1,402,58.177,0.333373911,4.9950248756218905,4.9950248756218905,0.38217699456310156,0.38217699456310156,207483.92123253603,61259.297123616,622376.0,1.0
US.AMAT,2026-05-07,ATM,2138869.0,1670,3,1310,61.252,0.4495381573333333,94.61136404790852,277.0,5.644375312193644,16.59082637301106,981085.979487214,829150.9467242289,3203577.0,0.6676502546996685
US.AMAT,2026-05-07,DEEP_OTM,1064708.0,730,2,38,58.3335,0.265252739,21.689855072463768,33.46666666666667,0.6893474778172484,0.8587015693776927,281494.60996912,736405.558732671,3203577.0,0.33234974530033146
US.AMD,2026-05-07,ATM,514267792.0,347126,98,161113,70.93922448979592,0.5416926230510204,6.402425824248096,98.0,0.29188344966753826,5.939427300580988,292756987.9131936,173607987.98376703,1201845104.0,0.4278985622093943
US.AMD,2026-05-07,DEEP_ITM,606035793.0,92403,99,323424,81.61719191919192,0.8278762105757576,0.39941677513528373,2.7889908256880735,0.06798278578099375,0.424959023542857,507141590.3193733,131731839.11301574,1201845104.0,0.5042544925157011
US.AMD,2026-05-07,DEEP_OTM,81541519.0,126014,49,65585,69.66,0.28266575169387753,4.398175092732948,25.908661417322836,0.15847908964251786,1.462912535618157,24486614.434588782,51361348.582568966,1201845104.0,0.06784694527490458
US.AMZN,2026-05-07,ATM,89498002.0,167136,45,512939,31.450444444444443,0.5498811071555555,0.5707095638656798,4.8783091374893255,0.015616818645287604,0.20999616350615807,48310116.82479271,29654079.238787796,229776568.0,0.3895001251824773
US.AMZN,2026-05-07,DEEP_ITM,124334210.0,19255,20,248598,58.340650000000004,0.9142201276999999,0.13573957084175844,0.5339509659925432,0.03795504338758203,0.31820385291214953,120222551.46209124,6555183.078408083,229776568.0,0.5411091787218268
