stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.AMD,94.43,94.43,1,1326292081.0,1326292081.0
US.INTC,93.53,93.53,1,614227374.0,614227374.0
US.MU,91.85,91.85,1,1377912960.0,1377912960.0
US.DELL,88.31,88.31,1,51773351.0,51773351.0
US.RKLB,88.2,88.2,1,160697746.0,160697746.0
US.AAPL,87.75,87.75,1,500579185.0,500579185.0
US.DDOG,87.05,87.05,1,30432547.0,30432547.0
US.GLW,86.94,86.94,1,57044941.0,57044941.0
US.AKAM,86.46,86.46,1,33611675.0,33611675.0
US.MSTR,86.13,86.13,1,114828966.0,114828966.0
US.MCHP,85.25,85.25,1,716468511.0,716468511.0
US.AVGO,84.4,84.4,1,91916057.0,91916057.0
US.ORCL,84.28,84.28,1,78036348.0,78036348.0
US.CRWV,84.25,84.25,1,86790367.0,86790367.0
US.SLV,83.17,83.17,1,67375052.0,67375052.0
US.SNDK,82.59,82.59,1,321801092.0,321801092.0
US.USO,82.19,82.19,1,20623358.0,20623358.0
US.QCOM,82.05,82.05,1,279692126.0,279692126.0
US.MRNA,81.18,81.18,1,28285972.0,28285972.0
US.NVDA,79.48,79.48,1,763413453.0,763413453.0
US.TSLA,79.34,79.34,1,1278087329.0,1278087329.0
US.QQQ,77.97,77.97,1,880192794.0,880192794.0
US.GLD,77.71,77.71,1,75326613.0,75326613.0
US.WYNN,77.68,77.68,1,46957065.0,46957065.0
US.MXL,77.65,77.65,1,22647253.0,22647253.0
US.UNH,77.25,77.25,1,23906743.0,23906743.0
US.MTSI,76.84,76.84,1,7506633.0,7506633.0
US.META,76.4,76.4,1,80477428.0,80477428.0
US.COIN,75.63,75.63,1,48391465.0,48391465.0
US.MRVL,74.66,74.66,1,28956707.0,28956707.0
US.DASH,74.56,74.56,1,15304658.0,15304658.0
US.CSCO,74.23,74.23,1,16097102.0,16097102.0
US.CVNA,73.83,73.83,1,6854097.0,6854097.0
US.HR,73.12,73.12,1,5774751.0,5774751.0
US.DOCN,72.77,72.77,1,5074160.0,5074160.0
US.WDC,72.03,72.03,1,18512731.0,18512731.0
US.GOOG,71.67,71.67,1,46628814.0,46628814.0
US.NSIT,71.56,71.56,1,4255826.0,4255826.0
US.SANM,71.55,71.55,1,5177542.0,5177542.0
US.SATS,70.89,70.89,1,9381827.0,9381827.0
US.SPGI,70.52,70.52,1,1641850.0,1641850.0
US.COP,70.37,70.37,1,80495164.0,80495164.0
US.ADI,70.22,70.22,1,68524260.0,68524260.0
US.APP,69.68,69.68,1,28892122.0,28892122.0
