stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.TSLA,91.37,91.37,1,362957644.0,362957644.0
US.INTC,90.21,90.21,1,180979132.0,180979132.0
US.SNDK,90.1,90.1,1,93541664.0,93541664.0
US.MU,89.48,89.48,1,332021750.0,332021750.0
US.QQQ,89.33,89.33,1,585680569.0,585680569.0
US.QCOM,86.17,86.17,1,26228200.0,26228200.0
US.AMD,84.94,84.94,1,188672799.0,188672799.0
US.USO,81.98,81.98,1,9685203.0,9685203.0
US.CRWV,81.12,81.12,1,34436874.0,34436874.0
US.RKLB,80.33,80.33,1,27118947.0,27118947.0
US.GLD,79.99,79.99,1,13908325.0,13908325.0
US.AKAM,79.69,79.69,1,3547687.0,3547687.0
US.NVDA,79.62,79.62,1,128052908.0,128052908.0
US.META,78.45,78.45,1,46146767.0,46146767.0
US.MSFT,77.81,77.81,1,39395879.0,39395879.0
US.SHOP,76.83,76.83,1,6256463.0,6256463.0
US.MXL,76.25,76.25,1,2007857.0,2007857.0
US.AAPL,75.5,75.5,1,38740442.0,38740442.0
US.SLV,73.49,73.49,1,8753561.0,8753561.0
US.GEV,72.4,72.4,1,5743909.0,5743909.0
US.CRM,70.03,70.03,1,18081828.0,18081828.0
US.DELL,69.61,69.61,1,3129525.0,3129525.0
US.MRVL,69.36,69.36,1,9966939.0,9966939.0
US.ABT,68.5,68.5,1,44268557.0,44268557.0
US.PLTR,68.5,68.5,1,26134322.0,26134322.0
US.C,68.17,68.17,1,4478044.0,4478044.0
US.HOOD,68.16,68.16,1,6956342.0,6956342.0
US.ORCL,67.69,67.69,1,16753740.0,16753740.0
US.BSX,67.11,67.11,1,8760454.0,8760454.0
US.COHR,66.94,66.94,1,8290242.0,8290242.0
US.CRCL,66.86,66.86,1,7546526.0,7546526.0
US.BKNG,66.6,66.6,1,2890996.0,2890996.0
US.COF,65.38,65.38,1,1555398.0,1555398.0
US.GOOGL,65.06,65.06,1,8149346.0,8149346.0
US.CVNA,64.12,64.12,1,1371020.0,1371020.0
US.UNH,63.77,63.77,1,2297781.0,2297781.0
US.MRK,63.53,63.53,1,717878.0,717878.0
US.AMZN,63.33,63.33,1,16867659.0,16867659.0
US.TER,63.18,63.18,1,1740977.0,1740977.0
US.AMAT,63.13,63.13,1,3248167.0,3248167.0
US.BAC,63.12,63.12,1,5989114.0,5989114.0
US.INTU,62.97,62.97,1,3502062.0,3502062.0
US.COIN,62.76,62.76,1,14391995.0,14391995.0
US.JBL,62.59,62.59,1,2346480.0,2346480.0
US.MNST,62.27,62.27,1,546320.0,546320.0
US.AVGO,61.77,61.77,1,22106443.0,22106443.0
US.WDC,60.66,60.66,1,4100693.0,4100693.0
US.CAR,60.24,60.24,1,4560918.0,4560918.0
US.MCD,59.99,59.99,1,4391939.0,4391939.0
US.LITE,59.68,59.68,1,6392417.0,6392417.0
US.NFLX,59.55,59.55,1,15746871.0,15746871.0
US.LRCX,59.49,59.49,1,2472413.0,2472413.0
US.CEG,59.21,59.21,1,4232888.0,4232888.0
US.ANET,59.15,59.15,1,1840190.0,1840190.0
US.MSTR,58.84,58.84,1,12980991.0,12980991.0
US.KBR,58.77,58.77,1,3300000.0,3300000.0
US.GS,58.61,58.61,1,3451060.0,3451060.0
US.NOW,57.86,57.86,1,4017471.0,4017471.0
US.DDOG,57.6,57.6,1,2082607.0,2082607.0
US.APH,57.41,57.41,1,3288518.0,3288518.0
US.CCL,56.71,56.71,1,4382890.0,4382890.0
US.VST,56.67,56.67,1,6358042.0,6358042.0
US.TWLO,56.61,56.61,1,723553.0,723553.0
US.MELI,56.23,56.23,1,3634409.0,3634409.0
US.WFC,55.96,55.96,1,7414658.0,7414658.0
US.PANW,55.68,55.68,1,2346206.0,2346206.0
US.HPQ,55.68,55.68,1,1008000.0,1008000.0
US.BA,55.66,55.66,1,3075569.0,3075569.0
US.OKTA,55.17,55.17,1,758354.0,758354.0
US.VRT,54.46,54.46,1,2327361.0,2327361.0
US.GOOG,54.09,54.09,1,7975776.0,7975776.0
US.ONTO,53.71,53.71,1,870216.0,870216.0
US.FLEX,53.63,53.63,1,1424396.0,1424396.0
US.APP,52.82,52.82,1,3969779.0,3969779.0
US.SYK,52.52,52.52,1,3791077.0,3791077.0
US.SMCI,52.35,52.35,1,755809.0,755809.0
US.ADBE,52.29,52.29,1,3578068.0,3578068.0
US.RCL,51.9,51.9,1,37564528.0,37564528.0
US.UPWK,51.58,51.58,1,1839718.0,1839718.0
US.SCHW,51.2,51.2,1,1858748.0,1858748.0
US.STX,51.2,51.2,1,1143880.0,1143880.0
US.LFUS,50.82,50.82,1,370424.0,370424.0
US.TMO,50.6,50.6,1,646420.0,646420.0
US.DHR,50.37,50.37,1,14417190.0,14417190.0
US.FLR,50.34,50.34,1,3359618.0,3359618.0
US.CAVA,50.04,50.04,1,330029.0,330029.0
US.MCHP,49.42,49.42,1,1984719.0,1984719.0
US.FCX,49.21,49.21,1,1000974.0,1000974.0
US.SNPS,49.05,49.05,1,350000.0,350000.0
US.ARM,48.98,48.98,1,3824035.0,3824035.0
US.WHR,48.47,48.47,1,2075421.0,2075421.0
US.AAL,48.3,48.3,1,5070177.0,5070177.0
US.GPN,48.21,48.21,1,1980560.0,1980560.0
US.ADI,48.06,48.06,1,1080444.0,1080444.0
US.TTD,48.02,48.02,1,2687918.0,2687918.0
US.JPM,47.36,47.36,1,6410425.0,6410425.0
US.ETN,47.2,47.2,1,700755.0,700755.0
US.BABA,44.08,44.08,1,3348117.0,3348117.0
US.CAT,43.87,43.87,1,3044901.0,3044901.0
US.VITL,43.4,43.4,1,2591350.0,2591350.0
US.DPZ,43.3,43.3,1,613505.0,613505.0
US.PH,42.36,42.36,1,452120.0,452120.0
US.WMS,42.08,42.08,1,300650.0,300650.0
US.AMKR,40.98,40.98,1,571210.0,571210.0
US.PATH,40.73,40.73,1,821326.0,821326.0
US.CME,40.55,40.55,1,956450.0,956450.0
US.ELF,40.52,40.52,1,390660.0,390660.0
US.FOUR,39.74,39.74,1,486252.0,486252.0
US.UBER,39.43,39.43,1,691300.0,691300.0
US.EXPE,38.85,38.85,1,2601457.0,2601457.0
US.MARA,38.31,38.31,1,310577.0,310577.0
US.HIMS,37.94,37.94,1,740981.0,740981.0
US.LYFT,37.25,37.25,1,879107.0,879107.0
US.LLY,36.66,36.66,1,2010783.0,2010783.0
US.AMT,36.5,36.5,1,861749.0,861749.0
US.ASML,36.26,36.26,1,1078942.0,1078942.0
US.UPS,36.25,36.25,1,452225.0,452225.0
US.XYZ,35.97,35.97,1,899764.0,899764.0
US.PEP,35.5,35.5,1,737996.0,737996.0
US.KKR,35.46,35.46,1,408670.0,408670.0
US.AGX,35.25,35.25,1,2305255.0,2305255.0
US.CSCO,35.2,35.2,1,745347.0,745347.0
US.WDAY,34.08,34.08,1,488927.0,488927.0
US.MOH,32.68,32.68,1,793833.0,793833.0
US.NKE,32.66,32.66,1,358244.0,358244.0
US.MP,32.52,32.52,1,1149988.0,1149988.0
US.APO,32.42,32.42,1,835058.0,835058.0
US.FTNT,30.81,30.81,1,350407.0,350407.0
US.V,30.57,30.57,1,1548705.0,1548705.0
US.CRWD,30.16,30.16,1,374736.0,374736.0
US.FBIN,30.01,30.01,1,2553531.0,2553531.0
US.GE,29.73,29.73,1,1103994.0,1103994.0
US.OSK,29.17,29.17,1,351665.0,351665.0
US.MCK,29.04,29.04,1,674527.0,674527.0
US.PWR,28.13,28.13,1,518075.0,518075.0
US.EA,26.74,26.74,1,1063475.0,1063475.0
US.FSLR,26.73,26.73,1,372765.0,372765.0
US.CENX,26.71,26.71,1,376233.0,376233.0
US.MRNA,25.87,25.87,1,315175.0,315175.0
US.EOG,24.8,24.8,1,362670.0,362670.0
US.CAH,23.55,23.55,1,361267.0,361267.0
US.DAL,23.39,23.39,1,402329.0,402329.0
US.ENPH,23.33,23.33,1,545210.0,545210.0
US.VZ,23.12,23.12,1,735534.0,735534.0
US.XOM,22.39,22.39,1,781613.0,781613.0
US.ALL,22.25,22.25,1,304500.0,304500.0
US.HUM,21.3,21.3,1,490050.0,490050.0
US.AXP,21.03,21.03,1,613974.0,613974.0
US.ON,20.29,20.29,1,344580.0,344580.0
US.WBD,20.2,20.2,1,1125500.0,1125500.0
US.GLW,19.79,19.79,1,327539.0,327539.0
US.MA,18.35,18.35,1,368953.0,368953.0
US.PDD,18.14,18.14,1,542523.0,542523.0
US.GILD,17.73,17.73,1,384859.0,384859.0
US.CVX,15.99,15.99,1,405894.0,405894.0
US.DIS,15.81,15.81,1,340141.0,340141.0
US.PFE,13.48,13.48,1,360112.0,360112.0
US.GDX,13.4,13.4,1,356449.0,356449.0
