stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover,active_days,persistence_ratio,dominant_bucket,stop_status,stop_date,peak_date
US.AMD,40.47,40.47,1,1514964880.0,1514964880.0,1,1.0,N/A,N/A,,
US.INTC,40.33,40.33,1,795206506.0,795206506.0,1,1.0,N/A,N/A,,
US.MU,40.08,40.08,1,1709934710.0,1709934710.0,1,1.0,N/A,N/A,,
US.SNDK,40.03,40.03,1,415342756.0,415342756.0,1,1.0,N/A,N/A,,
US.RKLB,39.91,39.91,1,187816693.0,187816693.0,1,1.0,N/A,N/A,,
US.TSLA,39.78,39.78,1,1641044973.0,1641044973.0,1,1.0,N/A,N/A,,
US.QQQ,39.59,39.59,1,1465873363.0,1465873363.0,1,1.0,N/A,N/A,,
US.DELL,39.38,39.38,1,54902876.0,54902876.0,1,1.0,N/A,N/A,,
US.AKAM,39.36,39.36,1,37159362.0,37159362.0,1,1.0,N/A,N/A,,
US.QCOM,39.34,39.34,1,305920326.0,305920326.0,1,1.0,N/A,N/A,,
US.DDOG,39.26,39.26,1,32515154.0,32515154.0,1,1.0,N/A,N/A,,
US.AAPL,39.24,39.24,1,539319627.0,539319627.0,1,1.0,N/A,N/A,,
US.CRWV,38.99,38.99,1,121227241.0,121227241.0,1,1.0,N/A,N/A,,
US.MSTR,38.99,38.99,1,127809957.0,127809957.0,1,1.0,N/A,N/A,,
US.GLW,38.92,38.92,1,57372480.0,57372480.0,1,1.0,N/A,N/A,,
US.AVGO,38.84,38.84,1,114022500.0,114022500.0,1,1.0,N/A,N/A,,
US.ORCL,38.75,38.75,1,94790088.0,94790088.0,1,1.0,N/A,N/A,,
US.MCHP,38.69,38.69,1,718453230.0,718453230.0,1,1.0,N/A,N/A,,
US.USO,38.63,38.63,1,30308561.0,30308561.0,1,1.0,N/A,N/A,,
US.MXL,38.59,38.59,1,24655110.0,24655110.0,1,1.0,N/A,N/A,,
US.SLV,38.57,38.57,1,76128613.0,76128613.0,1,1.0,N/A,N/A,,
US.NVDA,38.37,38.37,1,891466361.0,891466361.0,1,1.0,N/A,N/A,,
US.UNH,38.06,38.06,1,26204524.0,26204524.0,1,1.0,N/A,N/A,,
US.MRNA,38.01,38.01,1,28601147.0,28601147.0,1,1.0,N/A,N/A,,
US.GLD,38.0,38.0,1,89234938.0,89234938.0,1,1.0,N/A,N/A,,
US.META,37.9,37.9,1,126624195.0,126624195.0,1,1.0,N/A,N/A,,
US.C,37.88,37.88,1,9996275.0,9996275.0,1,1.0,N/A,N/A,,
US.MRVL,37.56,37.56,1,38923646.0,38923646.0,1,1.0,N/A,N/A,,
US.SHOP,37.45,37.45,1,7203809.0,7203809.0,1,1.0,N/A,N/A,,
US.COIN,37.4,37.4,1,62783460.0,62783460.0,1,1.0,N/A,N/A,,
US.BSX,37.37,37.37,1,14295043.0,14295043.0,1,1.0,N/A,N/A,,
US.CVNA,37.34,37.34,1,8225117.0,8225117.0,1,1.0,N/A,N/A,,
US.WDC,37.26,37.26,1,22613424.0,22613424.0,1,1.0,N/A,N/A,,
US.MSFT,37.22,37.22,1,129249067.0,129249067.0,1,1.0,N/A,N/A,,
US.ADI,37.18,37.18,1,69604704.0,69604704.0,1,1.0,N/A,N/A,,
US.WYNN,37.17,37.17,1,46957065.0,46957065.0,1,1.0,N/A,N/A,,
US.MCD,37.14,37.14,1,10078196.0,10078196.0,1,1.0,N/A,N/A,,
US.MTSI,37.09,37.09,1,7506633.0,7506633.0,1,1.0,N/A,N/A,,
US.GEV,37.05,37.05,1,6738295.0,6738295.0,1,1.0,N/A,N/A,,
US.CSCO,36.97,36.97,1,16842449.0,16842449.0,1,1.0,N/A,N/A,,
US.BAC,36.94,36.94,1,14062000.0,14062000.0,1,1.0,N/A,N/A,,
US.APH,36.84,36.84,1,14166827.0,14166827.0,1,1.0,N/A,N/A,,
US.GOOGL,36.81,36.81,1,92579023.0,92579023.0,1,1.0,N/A,N/A,,
US.ADBE,36.77,36.77,1,9993703.0,9993703.0,1,1.0,N/A,N/A,,
US.GOOG,36.69,36.69,1,54604590.0,54604590.0,1,1.0,N/A,N/A,,
US.PLTR,36.65,36.65,1,77236068.0,77236068.0,1,1.0,N/A,N/A,,
US.CRCL,36.65,36.65,1,25758294.0,25758294.0,1,1.0,N/A,N/A,,
US.AMZN,36.64,36.64,1,96104639.0,96104639.0,1,1.0,N/A,N/A,,
US.PANW,36.64,36.64,1,24158143.0,24158143.0,1,1.0,N/A,N/A,,
US.DASH,36.6,36.6,1,15304658.0,15304658.0,1,1.0,N/A,N/A,,
US.SMCI,36.58,36.58,1,21017444.0,21017444.0,1,1.0,N/A,N/A,,
US.MNST,36.55,36.55,1,1409121.0,1409121.0,1,1.0,N/A,N/A,,
US.FLEX,36.51,36.51,1,3255991.0,3255991.0,1,1.0,N/A,N/A,,
US.HR,36.5,36.5,1,5774751.0,5774751.0,1,1.0,N/A,N/A,,
US.APP,36.47,36.47,1,32861901.0,32861901.0,1,1.0,N/A,N/A,,
US.RCL,36.45,36.45,1,43869071.0,43869071.0,1,1.0,N/A,N/A,,
US.DOCN,36.35,36.35,1,5074160.0,5074160.0,1,1.0,N/A,N/A,,
