stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.VZ,21.48,21.48,1,735534.0,735534.0
US.XOM,21.34,21.16,2,1578421.0,796808.0
US.UHS,20.94,20.94,1,2979370.0,2979370.0
US.ENPH,20.5,20.5,1,545210.0,545210.0
US.CHDN,20.41,20.41,1,648668.0,648668.0
US.EL,20.33,20.33,1,625670.0,625670.0
US.ALL,20.21,20.21,1,304500.0,304500.0
US.COP,19.81,19.81,1,512006.0,512006.0
US.CVX,19.75,16.865000000000002,2,992730.0,586836.0
US.AXP,18.56,18.11,2,1120089.0,613974.0
US.WMT,18.4,18.4,1,514358.0,514358.0
US.JNJ,17.7,17.189999999999998,2,1096500.0,556463.0
US.PDD,16.27,16.27,1,542523.0,542523.0
US.GILD,16.09,16.09,1,384859.0,384859.0
US.DIS,14.15,14.15,1,340141.0,340141.0
US.PFE,13.19,13.19,1,360112.0,360112.0
US.GDX,12.65,12.65,1,356449.0,356449.0
