stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover
US.V,27.97,27.97,1,1766983.0,1766983.0
US.NVT,27.69,27.69,1,546290.0,546290.0
US.SHOO,27.52,27.52,1,422217.0,422217.0
US.ARES,26.54,25.4,2,1610073.0,1195837.0
US.APO,26.46,25.175,2,1570616.0,887717.0
US.VRSN,26.27,26.27,1,1458354.0,1458354.0
US.MGM,25.35,25.35,1,1380760.0,1380760.0
US.BXP,25.13,25.13,1,511989.0,511989.0
US.PDD,24.72,21.02,2,1612591.0,1141488.0
US.DHR,24.03,24.03,1,303683.0,303683.0
US.SBUX,24.0,24.0,1,1416119.0,1416119.0
US.VICI,23.55,23.55,1,732955.0,732955.0
US.CCL,23.41,23.41,1,509013.0,509013.0
US.T,22.55,22.55,1,544977.0,544977.0
US.EL,22.26,22.26,1,822073.0,822073.0
US.VZ,22.24,22.24,1,1090971.0,1090971.0
US.BWA,21.82,18.240000000000002,2,1154202.0,763395.0
US.HL,21.69,21.69,1,605864.0,605864.0
US.LYV,21.2,21.2,1,994355.0,994355.0
US.EVR,20.79,20.79,1,670619.0,670619.0
US.COR,20.72,20.72,1,433351.0,433351.0
US.DY,20.58,20.58,1,648418.0,648418.0
US.SFM,19.97,19.97,1,397067.0,397067.0
US.EQT,19.31,19.31,1,383613.0,383613.0
US.TEX,18.9,18.9,1,415000.0,415000.0
US.SO,18.14,18.14,1,520517.0,520517.0
US.LUV,17.31,17.31,1,665521.0,665521.0
US.ARWR,17.1,17.1,1,367456.0,367456.0
US.BX,16.63,16.63,1,351340.0,351340.0
US.CF,16.62,16.62,1,340091.0,340091.0
US.IRDM,16.26,16.26,1,318439.0,318439.0
US.PG,15.35,15.35,1,527200.0,527200.0
US.TSCO,15.33,15.33,1,588957.0,588957.0
US.TGT,15.11,15.11,1,593569.0,593569.0
US.ADM,13.0,13.0,1,365994.0,365994.0
US.XPEV,12.4,12.4,1,307457.0,307457.0
US.SLB,10.99,10.99,1,305119.0,305119.0
