stock_owner,max_score,avg_score,signal_days,total_turnover,max_daily_turnover,active_days,persistence_ratio,dominant_bucket,stop_status,stop_date,peak_date
US.AMD,77.65,76.77333333333333,3,3451005309.0,1514964880.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.INTC,77.45,77.11666666666667,3,1398896599.0,795206506.0,3,1.0,ATM,ONGOING,,2026-05-09
US.MU,77.31,77.15666666666668,3,3769677484.0,1709934710.0,3,1.0,ATM,ONGOING,,2026-05-09
US.SNDK,77.16,76.13333333333334,3,991796207.0,415342756.0,3,1.0,ATM,ONGOING,,2026-05-09
US.AAPL,76.45,75.89999999999999,3,1272379238.0,539319627.0,3,1.0,ATM,ONGOING,,2026-05-09
US.DELL,76.42,76.08666666666666,3,118328174.0,54902876.0,3,1.0,ATM,ONGOING,,2026-05-09
US.AVGO,76.4,76.14999999999999,3,313834234.0,114022500.0,3,1.0,ATM,ONGOING,,2026-05-09
US.AKAM,76.39,73.69,3,56646939.0,37159362.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.MCHP,75.88,73.74333333333334,3,746852667.0,718453230.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.DASH,75.69,73.98666666666666,3,35974896.0,15304658.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.MRNA,75.17,71.82333333333334,3,53744484.0,28601147.0,3,1.0,ATM,ONGOING,,2026-05-09
US.UNH,75.1,72.68333333333332,3,34149837.0,26204524.0,3,1.0,ATM,ONGOING,,2026-05-09
US.C,74.98,70.39666666666666,3,19111701.0,9996275.0,3,1.0,ATM,ONGOING,,2026-05-09
US.WDC,74.39,73.36666666666666,3,39495251.0,22613424.0,3,1.0,ATM,ONGOING,,2026-05-09
US.ADI,74.32,70.37666666666667,3,71970649.0,69604704.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.BAC,74.04,68.17,3,15767458.0,14062000.0,3,1.0,ATM,ONGOING,,2026-05-09
US.GEV,73.99,69.69333333333333,3,10187441.0,6738295.0,3,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.ADBE,73.87,72.32000000000001,3,16632684.0,9993703.0,3,1.0,ATM,ONGOING,,2026-05-09
US.AMAT,73.74,73.09333333333332,3,24936502.0,12631460.0,3,1.0,ATM,ONGOING,,2026-05-09
US.CRM,73.29,72.72333333333334,3,53984682.0,22445976.0,3,1.0,ATM,ONGOING,,2026-05-09
US.COP,73.29,71.42,3,84307260.0,80495164.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.SATS,73.26,70.47666666666667,3,20472609.0,9381827.0,3,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.BA,73.22,71.87333333333333,3,48737743.0,22508381.0,3,1.0,ATM,ONGOING,,2026-05-09
US.VST,72.66,70.69,3,30752011.0,18421637.0,3,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.CVX,72.37,68.22333333333334,3,4430998.0,2071392.0,3,1.0,ATM,ONGOING,,2026-05-09
US.AAL,71.91,70.11666666666667,3,9778353.0,6052292.0,3,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.JPM,71.77,70.59333333333333,3,27484303.0,11712263.0,3,1.0,ATM,ONGOING,,2026-05-09
US.BIDU,71.74,69.73333333333333,3,14509164.0,7431197.0,3,1.0,ATM,ONGOING,,2026-05-09
US.MP,71.63,69.92,3,16907846.0,7947897.0,3,1.0,ATM,ONGOING,,2026-05-09
US.CEG,71.54,69.80333333333334,3,10987643.0,6376516.0,3,1.0,ATM,ONGOING,,2026-05-09
US.DIS,71.07,68.50333333333333,3,7454990.0,4140381.0,3,1.0,DEEP_ITM,ONGOING,,2026-05-09
US.JD,70.99,67.30333333333333,3,2952837.0,1362197.0,3,1.0,DEEP_OTM,ONGOING,,2026-05-09
US.CVS,69.27,68.33999999999999,3,6633983.0,3071787.0,3,1.0,ATM,ONGOING,,2026-05-09
US.XOM,69.0,67.83,3,8358301.0,3461112.0,3,1.0,ATM,ONGOING,,2026-05-09
US.BRK.B,68.6,67.43666666666667,3,3741161.0,1562306.0,3,1.0,ATM,ONGOING,,2026-05-09
US.TSLA,66.93,66.64333333333333,3,4699218193.0,1913159109.0,3,1.0,ATM,ACTIVE,,2026-05-08
US.QCOM,66.91,66.43666666666667,3,729240918.0,313830917.0,3,1.0,ATM,ACTIVE,,2026-05-08
US.HOOD,66.82,63.53333333333333,3,68992963.0,33411234.0,3,1.0,ATM,ACTIVE,,2026-05-08
US.DDOG,66.8,65.60333333333334,3,172966923.0,117183701.0,3,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.FTNT,66.7,63.916666666666664,3,48908866.0,35140129.0,3,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.ZTS,66.61,60.29333333333333,3,13659293.0,12597381.0,3,1.0,DEEP_ITM,ACTIVE,,2026-05-08
US.GOOG,66.5,65.34666666666666,3,385093674.0,225970170.0,3,1.0,ATM,ACTIVE,,2026-05-07
US.ARM,66.41,64.7,3,300603940.0,203759772.0,3,1.0,ATM,ACTIVE,,2026-05-07
US.LRCX,66.4,64.47,3,69546179.0,48672559.0,3,1.0,ATM,ACTIVE,,2026-05-07
